"gender","provider_status","time_use","care_type","care_focus","provider_attention","population","provision_interval"
"female","other","care","formal","daily_living","active",1187310.79,370493919
"female","other","care","formal","developmental","active",868823.48,294694635.6
"female","other","care","formal","health","active",1312378.82,439204750.885714
"female","with_children","care","formal","daily_living","active",2625148.23,778635055.457143
"female","with_children","care","formal","developmental","active",3408297.27,1100776025.48571
"female","with_children","care","formal","health","active",5238457.83,1676648614.37143
"female","without_children","care","formal","daily_living","active",4957007.22,1394610206.91429
"female","without_children","care","formal","developmental","active",4187562.52,1305487345.28571
"female","without_children","care","formal","health","active",6754071.76,2204124459.08571
"male","other","care","formal","daily_living","active",621421.83,203282882.485714
"male","other","care","formal","developmental","active",195514.45,67535459.1428571
"male","other","care","formal","health","active",274392.97,104816233.628571
"male","with_children","care","formal","daily_living","active",1699688.2,601177085.4
"male","with_children","care","formal","developmental","active",1011919.7,365704954.285714
"male","with_children","care","formal","health","active",1480234.72,553418093.828571
"male","without_children","care","formal","daily_living","active",5256211.71,1631468729.05714
"male","without_children","care","formal","developmental","active",1656969.21,531801007.285714
"male","without_children","care","formal","health","active",2213860.77,750461947.114286
"female","other","non_care","formal","none","active",4288285.46,1410702909.85714
"female","with_children","non_care","formal","none","active",13284885.67,4372627661.48571
"female","without_children","non_care","formal","none","active",23452021,7511487074.65714
"male","other","non_care","formal","none","active",5374370.37,1926057964.45714
"male","with_children","non_care","formal","none","active",21006960.77,7762458715.54286
"male","without_children","non_care","formal","none","active",38183034.67,13131392773.4571
"female","other","care","informal","daily_living","active",14345535.5963742,3527609433.48437
"female","other","care","informal","developmental","passive_child",14620037.6976631,412813917.20691
"female","other","care","informal","developmental","active",1434611.12076931,167753321.358246
"female","other","care","informal","health","passive_elder",14620037.6976631,302365889.703469
"female","other","care","informal","health","active",1949260.79907704,213501001.247013
"female","with_children","care","informal","daily_living","active",37154613.0771197,8446975234.39304
"female","with_children","care","informal","developmental","passive_child",37678841.8614571,10349755362.7074
"female","with_children","care","informal","developmental","active",27281500.051683,3707252901.6293
"female","with_children","care","informal","health","passive_elder",37678841.8614571,143617978.380101
"female","with_children","care","informal","health","active",4398643.8123817,341655761.581844
"female","without_children","care","informal","daily_living","active",76011577.0816582,16634940800.542
"female","without_children","care","informal","developmental","passive_child",77637235.1628007,1240105694.34677
"female","without_children","care","informal","developmental","active",5582403.22369539,759698652.400293
"female","without_children","care","informal","health","passive_elder",77637235.1628007,899937790.17638
"female","without_children","care","informal","health","active",8636336.47545707,750777501.152063
"male","other","care","informal","daily_living","active",8431908.50051658,1460333108.43424
"male","other","care","informal","developmental","passive_child",8991237.1421916,144012539.808891
"male","other","care","informal","developmental","active",290122.568367245,31810921.4797019
"male","other","care","informal","health","passive_elder",8991237.1421916,70863108.8711922
"male","other","care","informal","health","active",873711.708765057,68394741.4750474
"male","with_children","care","informal","daily_living","active",31745010.6643879,4828108189.51188
"male","with_children","care","informal","developmental","passive_child",33407076.1063875,6630946914.90478
"male","with_children","care","informal","developmental","active",17700638.1754616,1792825466.54689
"male","with_children","care","informal","health","passive_elder",33407076.1063875,73360897.1661312
"male","with_children","care","informal","health","active",1881581.35937238,130946119.866196
"male","without_children","care","informal","daily_living","active",76089496.7064676,12009258728.5998
"male","without_children","care","informal","developmental","passive_child",80226126.9311765,667046007.691842
"male","without_children","care","informal","developmental","active",2955589.92714965,361627390.464938
"male","without_children","care","informal","health","passive_elder",80226126.9311765,755412583.077912
"male","without_children","care","informal","health","active",4924710.89213323,463951126.453418
"female","other","non_care","informal","none","active",14620037.6976631,14445314052.4554
"female","with_children","non_care","informal","none","active",37678841.8614571,33080201715.4052
"female","without_children","non_care","informal","none","active",77637235.1628007,80190824383.2129
"male","other","non_care","informal","none","active",8987305.85822771,9092676913.83149
"male","with_children","non_care","informal","none","active",33407076.1063875,29825367865.2031
"male","without_children","non_care","informal","none","active",80226126.9311765,84738848743.3116
