"date","category_id","subcategory_id","formal_care_labor_force","formal_care_labor_force_proportion","formal_care_time","formal_care_time_proportion","formal_value","formal_value_proportion"
1994-01-01,"overall","overall",29400527.26,0.15475075982346,NA,NA,NA,NA
1995-01-01,"overall","overall",30229916.02,0.157779413398403,NA,NA,NA,NA
1996-01-01,"overall","overall",30300002.19,0.156859564202924,NA,NA,NA,NA
1997-01-01,"overall","overall",31226803.52,0.159672216560967,NA,NA,NA,NA
1998-01-01,"overall","overall",31923341.66,0.161709404590152,NA,NA,NA,NA
1999-01-01,"overall","overall",32565652.9,0.16305565782771,NA,NA,NA,NA
2000-01-01,"overall","overall",33521831.1,0.166145037175583,NA,NA,NA,NA
2001-01-01,"overall","overall",34228952.37,0.165195006602483,NA,NA,NA,NA
2002-01-01,"overall","overall",35261063.85,0.168347217094939,NA,NA,NA,NA
2003-01-01,"overall","overall",36083298.35,0.169706667844351,NA,NA,NA,NA
2004-01-01,"overall","overall",36684244.5,0.170862786576528,NA,NA,NA,NA
2005-01-01,"overall","overall",37196794.27,0.171117985138716,NA,NA,NA,NA
2006-01-01,"overall","overall",38088467.57,0.173247961587327,NA,NA,NA,NA
2007-01-01,"overall","overall",39599839.56,0.177798942343216,NA,NA,NA,NA
2008-01-01,"overall","overall",39952214.29,0.177800108887457,NA,NA,NA,NA
2009-01-01,"overall","overall",40582370.17,0.178798096446227,NA,NA,NA,NA
2010-01-01,"overall","overall",40849408.54,0.177816365684405,NA,NA,NA,NA
2011-01-01,"overall","overall",41414559.53,0.178313155803864,NA,NA,NA,NA
2012-01-01,"overall","overall",41919688.19,0.178594903276193,NA,NA,NA,NA
2013-01-01,"overall","overall",42554466.07,0.179608489439787,NA,NA,NA,NA
2014-01-01,"overall","overall",43333300.82,0.180814197709141,NA,NA,NA,NA
2015-01-01,"overall","overall",43832439.77,0.180940330167221,NA,NA,NA,NA
2016-01-01,"overall","overall",45300751.4,0.185047149162703,NA,NA,NA,NA
2017-01-01,"overall","overall",46136353.49,0.187298715628401,NA,NA,NA,NA
2018-01-01,"overall","overall",46398735.03,0.186195911129634,NA,NA,NA,NA
2019-01-01,"overall","overall",46966088.22,0.187442194841502,NA,NA,NA,NA
2020-01-01,"overall","overall",45905225.7346,0.181437589712861,NA,NA,NA,NA
2021-01-01,"overall","overall",43385004.9553,0.17078775300958,NA,NA,NA,NA
2022-01-01,"overall","overall",45600277.78,0.178646000480285,NA,NA,NA,NA
2023-01-01,"overall","overall",46949032.64,0.181880396598923,NA,NA,NA,NA
2024-01-01,"overall","overall",47601122.86,0.183354058278124,NA,NA,NA,NA
1994-01-01,"gender_parent","Fathers",3233986.93,0.114670827132089,NA,NA,NA,NA
1994-01-01,"gender_parent","Mothers",9042306.57,0.247704084996583,NA,NA,NA,NA
1994-01-01,"gender_parent","Non-Fathers",6168440,0.108901351869018,NA,NA,NA,NA
1994-01-01,"gender_parent","Non-Mothers",8692221.9,0.165556039069361,NA,NA,NA,NA
1994-01-01,"gender_parent","Other",2263571.86,0.140299625500154,NA,NA,NA,NA
1995-01-01,"gender_parent","Fathers",3314116.57,0.11294168804408,NA,NA,NA,NA
1995-01-01,"gender_parent","Mothers",9416633.37,0.254318572093139,NA,NA,NA,NA
1995-01-01,"gender_parent","Non-Fathers",6123327.85,0.108896570276068,NA,NA,NA,NA
1995-01-01,"gender_parent","Non-Mothers",9078892.56,0.171088969258037,NA,NA,NA,NA
1995-01-01,"gender_parent","Other",2296945.67,0.144194106109119,NA,NA,NA,NA
1996-01-01,"gender_parent","Fathers",3493864.51,0.11939814192726,NA,NA,NA,NA
1996-01-01,"gender_parent","Mothers",9432305.77,0.256400673291995,NA,NA,NA,NA
1996-01-01,"gender_parent","Non-Fathers",6034962.69,0.105782224400207,NA,NA,NA,NA
1996-01-01,"gender_parent","Non-Mothers",9015709.21,0.166831021494789,NA,NA,NA,NA
1996-01-01,"gender_parent","Other",2323160.01,0.144971190629658,NA,NA,NA,NA
1997-01-01,"gender_parent","Fathers",3457008.42,0.116719904014701,NA,NA,NA,NA
1997-01-01,"gender_parent","Mothers",9722665.22,0.260693770061731,NA,NA,NA,NA
1997-01-01,"gender_parent","Non-Fathers",6238683.95,0.107824995376573,NA,NA,NA,NA
1997-01-01,"gender_parent","Non-Mothers",9338002.74,0.172360730630581,NA,NA,NA,NA
1997-01-01,"gender_parent","Other",2470443.19,0.148657106572765,NA,NA,NA,NA
1998-01-01,"gender_parent","Fathers",3579373.43,0.119847049801205,NA,NA,NA,NA
1998-01-01,"gender_parent","Mothers",9781922.17,0.262197921142658,NA,NA,NA,NA
1998-01-01,"gender_parent","Non-Fathers",6367740.88,0.10875642943411,NA,NA,NA,NA
1998-01-01,"gender_parent","Non-Mothers",9717544.4,0.176170753291066,NA,NA,NA,NA
1998-01-01,"gender_parent","Other",2476760.78,0.149853123945966,NA,NA,NA,NA
1999-01-01,"gender_parent","Fathers",3686793.96,0.124167641317563,NA,NA,NA,NA
1999-01-01,"gender_parent","Mothers",10023866.33,0.269560558741121,NA,NA,NA,NA
1999-01-01,"gender_parent","Non-Fathers",6441467.56,0.10812773812183,NA,NA,NA,NA
1999-01-01,"gender_parent","Non-Mothers",9894178.51,0.173791895059221,NA,NA,NA,NA
1999-01-01,"gender_parent","Other",2519346.54,0.154191062130752,NA,NA,NA,NA
2000-01-01,"gender_parent","Fathers",3624342.63,0.120571102777362,NA,NA,NA,NA
2000-01-01,"gender_parent","Mothers",10202514.08,0.272992480381198,NA,NA,NA,NA
2000-01-01,"gender_parent","Non-Fathers",6788077.11,0.112449387261875,NA,NA,NA,NA
2000-01-01,"gender_parent","Non-Mothers",10329407.41,0.179520809781027,NA,NA,NA,NA
2000-01-01,"gender_parent","Other",2577489.87,0.156921061516251,NA,NA,NA,NA
