Code_Informal,Type,Activity,Code_Formal
10201,SELF,Self Grooming,4500-4520
10299,SELF,Self Grooming,4500-4520
10301,SELF,Self Healthcare,3600
10399,SELF,Self Healthcare,3600
10401,NC,Personal/Private Activities,4140
10499,NC,Personal/Private Activities,4140
10501,SELF,Self Healthcare,3600
10599,SELF,Self Healthcare,3600
19999,SELF,Self Healthcare,3600
20101,PROVIDING,Home Cleaning,4200-4250
20102,PROVIDING,Laundry,4610
20103,PROVIDING,Clothing Maintenance,4200-4250
20104,PROVIDING,Home Organization,4200-4250
20199,PROVIDING,General Housework,4200-4250
20201,PROVIDING,Food and drink preparation ,4000-4060
20202,PROVIDING,Food and drink preparation ,4000-4060
20203,PROVIDING,Kitchen and food clean-up,4000-4060
20299,PROVIDING,Food and drink preparation ,4000-4060
20301,PROVIDING,Home Organization,4200-4250
20302,PROVIDING,Home Items Repair,4200-4250
20303,PROVIDING,Home Items Repair,4200-4250
20399,PROVIDING,Home Items Repair,4200-4250
20401,PROVIDING,Exterior cleaning,4200-4250
20402,PROVIDING,Home Exterior Repair,4200-4250
20499,PROVIDING,Home Exterior Repair,4200-4250
20501,PROVIDING,Exterior cleaning,4200-4250
20502,PROVIDING,Lawn and Garden,4200-4250
20599,PROVIDING,Lawn and Garden,4200-4250
20601,NC,Animal Care,4340-4350
20602,NC,Animal Care,4340-4350
20699,NC,Animal Care,4340-4350
20701,PROVIDING,Vehicle Repair,7000
20799,PROVIDING,Vehicle Repair,7000
20801,PROVIDING,Appliance/Tool Organization,4200-4250
20899,PROVIDING,Appliance/Tool Organization,4200-4250
20901,SUPPORT,Household Financial and Organizational Management,5000-5530
20902,SUPPORT,Household Financial and Organizational Management,5000-5530
20903,SUPPORT,Household Financial and Organizational Management,5000-5530
20904,SUPPORT,Household Financial and Organizational Management,5000-5530
20905,SUPPORT,Household Financial and Organizational Management,5000-5530
20999,SUPPORT,Household Financial and Organizational Management,5000-5530
29999,SUPPORT,General Household Activities,4200-4250
30101,PROVIDING,Physical Care for Children,4600
30102,PROVIDING,Reading to Children,4600
30103,PROVIDING,Playing with Children,4600
30104,PROVIDING,Playing with Children,4600
30105,PROVIDING,Playing with Children,4600
30106,PROVIDING,Talking to Children,4600
30108,SUPPORT,Organization & planning for children,4600
30109,PROVIDING,Looking after children,4600
30110,PROVIDING,Attending Children's events,4600
30111,SUPERVISING,Waiting for Children,4600
30112,SUPPORT,Picking up/dropping off children,4600
30199,PROVIDING,General childcare,4600
30201,PROVIDING,Helping with homework,2310
30202,SUPPORT,Meetings and school conferences,4600
30203,PROVIDING,Home schooling of children,2310
30204,SUPPORT,Waiting associated with children's education,4600
30299,PROVIDING,General Children's Education,2310
30301,PROVIDING,Providing medical care to children,3600
30302,PROVIDING,Obtaining medical care for children,3600
30303,SUPPORT,Providing medical care to children,3600
30399,PROVIDING,Providing medical care to children,3600
30401,PROVIDING,Physical care for adults,3600
30402,PROVIDING,Looking after adults (as a primary activity),3600
30403,PROVIDING,Providing medical care to adults,3600
30404,PROVIDING,Obtaining medical and care services for adults,3600
30405,SUPPORT,Providing medical care to adults,3600
30499,PROVIDING,Providing medical care to adults,3600
