"year","prime_age","race_ethnicity","empstat","poverty","gender","provider_status","population"
1990,"Fifty-Five Plus","American Indian","Employed","100-124 Percent of Poverty","female","other",1629.72
1990,"Fifty-Five Plus","American Indian","Employed","100-124 Percent of Poverty","female","without_children",6432.13
1990,"Fifty-Five Plus","American Indian","Employed","100-124 Percent of Poverty","male","without_children",1239.62
1990,"Fifty-Five Plus","American Indian","Employed","125-149 Percent of Poverty","female","without_children",2378.5
1990,"Fifty-Five Plus","American Indian","Employed","125-149 Percent of Poverty","male","other",863.06
1990,"Fifty-Five Plus","American Indian","Employed","125-149 Percent of Poverty","male","with_children",1709.86
1990,"Fifty-Five Plus","American Indian","Employed","125-149 Percent of Poverty","male","without_children",889.94
1990,"Fifty-Five Plus","American Indian","Employed","150+ Percent of Poverty","female","other",3084.22
1990,"Fifty-Five Plus","American Indian","Employed","150+ Percent of Poverty","female","without_children",19049.33
1990,"Fifty-Five Plus","American Indian","Employed","150+ Percent of Poverty","male","other",3314.19
1990,"Fifty-Five Plus","American Indian","Employed","150+ Percent of Poverty","male","with_children",6089.85
1990,"Fifty-Five Plus","American Indian","Employed","150+ Percent of Poverty","male","without_children",8089.65
1990,"Fifty-Five Plus","American Indian","Employed","Below Poverty","female","other",760.83
1990,"Fifty-Five Plus","American Indian","Employed","Below Poverty","female","without_children",2686.58
1990,"Fifty-Five Plus","American Indian","Employed","Below Poverty","male","without_children",1267.32
1990,"Fifty-Five Plus","American Indian","NILF","100-124 Percent of Poverty","female","with_children",530.35
1990,"Fifty-Five Plus","American Indian","NILF","100-124 Percent of Poverty","female","without_children",8071.75
1990,"Fifty-Five Plus","American Indian","NILF","100-124 Percent of Poverty","male","other",1999.37
1990,"Fifty-Five Plus","American Indian","NILF","100-124 Percent of Poverty","male","with_children",2106.03
1990,"Fifty-Five Plus","American Indian","NILF","100-124 Percent of Poverty","male","without_children",2257.65
1990,"Fifty-Five Plus","American Indian","NILF","125-149 Percent of Poverty","female","other",1266.55
1990,"Fifty-Five Plus","American Indian","NILF","125-149 Percent of Poverty","female","without_children",11340.04
1990,"Fifty-Five Plus","American Indian","NILF","125-149 Percent of Poverty","male","without_children",4075.86
1990,"Fifty-Five Plus","American Indian","NILF","150+ Percent of Poverty","female","other",5503.81
1990,"Fifty-Five Plus","American Indian","NILF","150+ Percent of Poverty","female","without_children",26900.35
1990,"Fifty-Five Plus","American Indian","NILF","150+ Percent of Poverty","male","other",4893.87
1990,"Fifty-Five Plus","American Indian","NILF","150+ Percent of Poverty","male","with_children",1946.09
1990,"Fifty-Five Plus","American Indian","NILF","150+ Percent of Poverty","male","without_children",23343.74
1990,"Fifty-Five Plus","American Indian","NILF","Below Poverty","female","other",10266.5
1990,"Fifty-Five Plus","American Indian","NILF","Below Poverty","female","with_children",405.45
1990,"Fifty-Five Plus","American Indian","NILF","Below Poverty","female","without_children",14020.18
1990,"Fifty-Five Plus","American Indian","NILF","Below Poverty","male","other",3396.56
1990,"Fifty-Five Plus","American Indian","NILF","Below Poverty","male","without_children",7695.85
1990,"Fifty-Five Plus","American Indian","Unemployed","100-124 Percent of Poverty","male","without_children",430.74
1990,"Fifty-Five Plus","American Indian","Unemployed","150+ Percent of Poverty","female","without_children",2900.43
1990,"Fifty-Five Plus","American Indian","Unemployed","150+ Percent of Poverty","male","with_children",299.1
1990,"Fifty-Five Plus","American Indian","Unemployed","150+ Percent of Poverty","male","without_children",3231.64
1990,"Fifty-Five Plus","Asian/Pacific Island","Employed","100-124 Percent of Poverty","female","other",1781.36
1990,"Fifty-Five Plus","Asian/Pacific Island","Employed","100-124 Percent of Poverty","female","without_children",3655.21
1990,"Fifty-Five Plus","Asian/Pacific Island","Employed","100-124 Percent of Poverty","male","without_children",2747.65
1990,"Fifty-Five Plus","Asian/Pacific Island","Employed","125-149 Percent of Poverty","female","other",3165.59
1990,"Fifty-Five Plus","Asian/Pacific Island","Employed","125-149 Percent of Poverty","female","without_children",4616.14
1990,"Fifty-Five Plus","Asian/Pacific Island","Employed","125-149 Percent of Poverty","male","with_children",852.43
1990,"Fifty-Five Plus","Asian/Pacific Island","Employed","125-149 Percent of Poverty","male","without_children",1301.03
1990,"Fifty-Five Plus","Asian/Pacific Island","Employed","150+ Percent of Poverty","female","other",46775.74
1990,"Fifty-Five Plus","Asian/Pacific Island","Employed","150+ Percent of Poverty","female","with_children",9995.32
1990,"Fifty-Five Plus","Asian/Pacific Island","Employed","150+ Percent of Poverty","female","without_children",54380.9
1990,"Fifty-Five Plus","Asian/Pacific Island","Employed","150+ Percent of Poverty","male","other",58057.67
1990,"Fifty-Five Plus","Asian/Pacific Island","Employed","150+ Percent of Poverty","male","with_children",39456.45
1990,"Fifty-Five Plus","Asian/Pacific Island","Employed","150+ Percent of Poverty","male","without_children",65384.08
1990,"Fifty-Five Plus","Asian/Pacific Island","Employed","Below Poverty","female","other",1098.48
1990,"Fifty-Five Plus","Asian/Pacific Island","Employed","Below Poverty","female","without_children",3548.28
1990,"Fifty-Five Plus","Asian/Pacific Island","Employed","Below Poverty","male","other",3971.54
1990,"Fifty-Five Plus","Asian/Pacific Island","Employed","Below Poverty","male","with_children",7351.73
1990,"Fifty-Five Plus","Asian/Pacific Island","Employed","Below Poverty","male","without_children",2887.78
1990,"Fifty-Five Plus","Asian/Pacific Island","NILF","100-124 Percent of Poverty","female","other",2352.17
1990,"Fifty-Five Plus","Asian/Pacific Island","NILF","100-124 Percent of Poverty","female","without_children",7076.04
1990,"Fifty-Five Plus","Asian/Pacific Island","NILF","100-124 Percent of Poverty","male","without_children",11444.82
1990,"Fifty-Five Plus","Asian/Pacific Island","NILF","125-149 Percent of Poverty","female","other",3106.17
1990,"Fifty-Five Plus","Asian/Pacific Island","NILF","125-149 Percent of Poverty","female","without_children",17630.6
1990,"Fifty-Five Plus","Asian/Pacific Island","NILF","125-149 Percent of Poverty","male","other",3106.17
1990,"Fifty-Five Plus","Asian/Pacific Island","NILF","125-149 Percent of Poverty","male","without_children",8043.89
1990,"Fifty-Five Plus","Asian/Pacific Island","NILF","150+ Percent of Poverty","female","other",106740.26
1990,"Fifty-Five Plus","Asian/Pacific Island","NILF","150+ Percent of Poverty","female","with_children",3068.38
1990,"Fifty-Five Plus","Asian/Pacific Island","NILF","150+ Percent of Poverty","female","without_children",152715.79
1990,"Fifty-Five Plus","Asian/Pacific Island","NILF","150+ Percent of Poverty","male","other",69153.33
1990,"Fifty-Five Plus","Asian/Pacific Island","NILF","150+ Percent of Poverty","male","with_children",4832.24
1990,"Fifty-Five Plus","Asian/Pacific Island","NILF","150+ Percent of Poverty","male","without_children",103980.2
1990,"Fifty-Five Plus","Asian/Pacific Island","NILF","Below Poverty","female","other",7608.05
1990,"Fifty-Five Plus","Asian/Pacific Island","NILF","Below Poverty","female","without_children",22411.92
1990,"Fifty-Five Plus","Asian/Pacific Island","NILF","Below Poverty","male","other",2957.65
1990,"Fifty-Five Plus","Asian/Pacific Island","NILF","Below Poverty","male","with_children",3204.2
1990,"Fifty-Five Plus","Asian/Pacific Island","NILF","Below Poverty","male","without_children",12383.9
1990,"Fifty-Five Plus","Asian/Pacific Island","Unemployed","150+ Percent of Poverty","female","without_children",4394.02
1990,"Fifty-Five Plus","Asian/Pacific Island","Unemployed","150+ Percent of Poverty","male","other",563.1
1990,"Fifty-Five Plus","Asian/Pacific Island","Unemployed","150+ Percent of Poverty","male","without_children",2304.31
1990,"Fifty-Five Plus","Asian/Pacific Island","Unemployed","Below Poverty","male","without_children",6404.61
1990,"Fifty-Five Plus","Black","Employed","100-124 Percent of Poverty","female","other",10208.8
1990,"Fifty-Five Plus","Black","Employed","100-124 Percent of Poverty","female","with_children",5012.86
1990,"Fifty-Five Plus","Black","Employed","100-124 Percent of Poverty","female","without_children",37985.92
1990,"Fifty-Five Plus","Black","Employed","100-124 Percent of Poverty","male","other",4455.27
1990,"Fifty-Five Plus","Black","Employed","100-124 Percent of Poverty","male","with_children",3146.93
1990,"Fifty-Five Plus","Black","Employed","100-124 Percent of Poverty","male","without_children",16326.1
1990,"Fifty-Five Plus","Black","Employed","125-149 Percent of Poverty","female","other",8274.72
1990,"Fifty-Five Plus","Black","Employed","125-149 Percent of Poverty","female","with_children",2951.43
1990,"Fifty-Five Plus","Black","Employed","125-149 Percent of Poverty","female","without_children",22777.48
1990,"Fifty-Five Plus","Black","Employed","125-149 Percent of Poverty","male","other",3017.64
1990,"Fifty-Five Plus","Black","Employed","125-149 Percent of Poverty","male","with_children",4181.89
1990,"Fifty-Five Plus","Black","Employed","125-149 Percent of Poverty","male","without_children",22919.3
1990,"Fifty-Five Plus","Black","Employed","150+ Percent of Poverty","female","other",127881.98
1990,"Fifty-Five Plus","Black","Employed","150+ Percent of Poverty","female","with_children",13990.81
1990,"Fifty-Five Plus","Black","Employed","150+ Percent of Poverty","female","without_children",286056.54
1990,"Fifty-Five Plus","Black","Employed","150+ Percent of Poverty","male","other",142832.11
1990,"Fifty-Five Plus","Black","Employed","150+ Percent of Poverty","male","with_children",41913.38
1990,"Fifty-Five Plus","Black","Employed","150+ Percent of Poverty","male","without_children",285641.11
1990,"Fifty-Five Plus","Black","Employed","Below Poverty","female","other",10838.15
1990,"Fifty-Five Plus","Black","Employed","Below Poverty","female","with_children",5942.82
1990,"Fifty-Five Plus","Black","Employed","Below Poverty","female","without_children",88116.09
1990,"Fifty-Five Plus","Black","Employed","Below Poverty","male","other",7627.42
1990,"Fifty-Five Plus","Black","Employed","Below Poverty","male","with_children",6822.17
1990,"Fifty-Five Plus","Black","Employed","Below Poverty","male","without_children",37228.91
1990,"Fifty-Five Plus","Black","NILF","100-124 Percent of Poverty","female","other",38127.59
1990,"Fifty-Five Plus","Black","NILF","100-124 Percent of Poverty","female","with_children",8538.95
1990,"Fifty-Five Plus","Black","NILF","100-124 Percent of Poverty","female","without_children",185656.2
1990,"Fifty-Five Plus","Black","NILF","100-124 Percent of Poverty","male","other",15793.56
1990,"Fifty-Five Plus","Black","NILF","100-124 Percent of Poverty","male","with_children",9097.85
1990,"Fifty-Five Plus","Black","NILF","100-124 Percent of Poverty","male","without_children",142687.22
1990,"Fifty-Five Plus","Black","NILF","125-149 Percent of Poverty","female","other",46593.56
1990,"Fifty-Five Plus","Black","NILF","125-149 Percent of Poverty","female","with_children",7990.35
1990,"Fifty-Five Plus","Black","NILF","125-149 Percent of Poverty","female","without_children",124513.01
1990,"Fifty-Five Plus","Black","NILF","125-149 Percent of Poverty","male","other",19641.11
1990,"Fifty-Five Plus","Black","NILF","125-149 Percent of Poverty","male","with_children",11345.46
1990,"Fifty-Five Plus","Black","NILF","125-149 Percent of Poverty","male","without_children",81152.52
1990,"Fifty-Five Plus","Black","NILF","150+ Percent of Poverty","female","other",307601.87
1990,"Fifty-Five Plus","Black","NILF","150+ Percent of Poverty","female","with_children",14781.69
1990,"Fifty-Five Plus","Black","NILF","150+ Percent of Poverty","female","without_children",455866.09
1990,"Fifty-Five Plus","Black","NILF","150+ Percent of Poverty","male","other",166904.54
1990,"Fifty-Five Plus","Black","NILF","150+ Percent of Poverty","male","with_children",31143.45
1990,"Fifty-Five Plus","Black","NILF","150+ Percent of Poverty","male","without_children",463322.84
1990,"Fifty-Five Plus","Black","NILF","Below Poverty","female","other",117835.39
1990,"Fifty-Five Plus","Black","NILF","Below Poverty","female","with_children",31423.3
1990,"Fifty-Five Plus","Black","NILF","Below Poverty","female","without_children",639297.03
1990,"Fifty-Five Plus","Black","NILF","Below Poverty","male","other",37831.8
1990,"Fifty-Five Plus","Black","NILF","Below Poverty","male","with_children",29197.55
1990,"Fifty-Five Plus","Black","NILF","Below Poverty","male","without_children",305392.89
1990,"Fifty-Five Plus","Black","Unemployed","100-124 Percent of Poverty","female","other",1668.36
1990,"Fifty-Five Plus","Black","Unemployed","150+ Percent of Poverty","female","other",3804.36
1990,"Fifty-Five Plus","Black","Unemployed","150+ Percent of Poverty","female","with_children",5510.22
1990,"Fifty-Five Plus","Black","Unemployed","150+ Percent of Poverty","female","without_children",7776.57
1990,"Fifty-Five Plus","Black","Unemployed","150+ Percent of Poverty","male","other",1794.64
1990,"Fifty-Five Plus","Black","Unemployed","150+ Percent of Poverty","male","without_children",17038.63
1990,"Fifty-Five Plus","Black","Unemployed","Below Poverty","female","other",2042.25
1990,"Fifty-Five Plus","Black","Unemployed","Below Poverty","female","with_children",2115.66
1990,"Fifty-Five Plus","Black","Unemployed","Below Poverty","female","without_children",3871.3
1990,"Fifty-Five Plus","Black","Unemployed","Below Poverty","male","with_children",2506.65
1990,"Fifty-Five Plus","Black","Unemployed","Below Poverty","male","without_children",11555.6
1990,"Fifty-Five Plus","Hispanic","Armed Forces","150+ Percent of Poverty","male","without_children",102.38
1990,"Fifty-Five Plus","Hispanic","Employed","100-124 Percent of Poverty","female","other",1349.76
1990,"Fifty-Five Plus","Hispanic","Employed","100-124 Percent of Poverty","female","without_children",8371.06
1990,"Fifty-Five Plus","Hispanic","Employed","100-124 Percent of Poverty","male","other",5569.94
1990,"Fifty-Five Plus","Hispanic","Employed","100-124 Percent of Poverty","male","with_children",2045.94
1990,"Fifty-Five Plus","Hispanic","Employed","100-124 Percent of Poverty","male","without_children",7512.37
1990,"Fifty-Five Plus","Hispanic","Employed","125-149 Percent of Poverty","female","other",1352.26
1990,"Fifty-Five Plus","Hispanic","Employed","125-149 Percent of Poverty","female","with_children",909.01
1990,"Fifty-Five Plus","Hispanic","Employed","125-149 Percent of Poverty","female","without_children",12877.41
1990,"Fifty-Five Plus","Hispanic","Employed","125-149 Percent of Poverty","male","other",3611.65
1990,"Fifty-Five Plus","Hispanic","Employed","125-149 Percent of Poverty","male","with_children",5567.19
