"id","name","care_focus","median_wage","provision_interval","population","sector","provider_attention"
"archivists-curators-and-museum-technicians","Archivists, Curators, and Museum Technicians","developmental",44000,22968954.6,75666.14,"Formal","active"
"bartenders","Bartenders","daily_living",35000,117650201.4,408260.33,"Formal","active"
"childcare-workers","Childcare Workers","developmental",25000,241774944.942857,910877.64,"Formal","active"
"chiropractors","Chiropractors","health",85000,11507679.1714286,40279.63,"Formal","active"
"clergy","Clergy","health",47000,150484164.342857,483607.13,"Formal","active"
"clinical-laboratory-technologists-and-technicians","Clinical Laboratory Technologists and Technicians","health",54000,100830750,320562.58,"Formal","active"
"cooks-chefs","Cooks/Chefs","daily_living",28000,708924294.857143,2397826.23,"Formal","active"
"counselors","Counselors","health",58000,327060779.657143,1013341.29,"Formal","active"
"dental-assistants","Dental Assistants","health",39500,78925166.6571429,277407.25,"Formal","active"
"dental-hygienists","Dental Hygienists","health",60000,63682517.5714286,223793.75,"Formal","active"
"dentists","Dentists","health",150000,40947243.3428571,131189.74,"Formal","active"
"diagnostic-related-technologists-and-technicians","Diagnostic Related Technologists and Technicians","health",72000,158533426.8,507079.83,"Formal","active"
"dieticians-and-nutritionists","Dieticians and Nutritionists","health",55000,35520156.0857143,116435.2,"Formal","active"
"dishwashers","Dishwashers","daily_living",25000,75066080.2285714,269055.7,"Formal","active"
"education-administrators","Education Administrators","developmental",80000,365186243.571429,1018372.53,"Formal","active"
"elementary-and-middle-school-teachers","Elementary and Middle School Teachers","developmental",58000,1231391810.14286,3739088.21,"Formal","active"
"emergency-medical-technicians-and-paramedics","Emergency Medical Technicians and Paramedics","health",63000,95139762.2571429,273583.69,"Formal","active"
"food-managers","Food Managers","daily_living",48000,438997958.657143,1262081.26,"Formal","active"
"food-preparation-workers","Food Preparation Workers","daily_living",24700,627995979.257143,2394829.11,"Formal","active"
"funeral-service-workers-and-embalmers","Funeral Service Workers and Embalmers","health",46000,14128118.6571429,46446.36,"Formal","active"
"hairdressers-hairstylists-and-cosmetologists","Hairdressers, Hairstylists, and Cosmetologists","daily_living",30000,340517117.485714,1237949.65,"Formal","active"
"health-diagnosing-and-treating-practitioner-support-technicians","Health Diagnosing and Treating Practitioner Support Technicians","health",38000,254425208.314286,827325.26,"Formal","active"
"health-diagnosing-and-treating-practitioners-nec","Health Diagnosing and Treating Practitioners, nec","health",40000,8483065.28571429,37430.46,"Formal","active"
"health-technologists-and-technicians-nec","Health Technologists and Technicians, nec","health",52000,54086857.2857143,158546.95,"Formal","active"
