"year","gini_national","stname"
2015,0.701478915074757,"National"
2016,0.700493671718359,"National"
2017,0.699455407177875,"National"
2018,0.70099462994059,"National"
2019,0.700513326301984,"National"
2020,0.699770704887641,"National"
2021,0.698955191065636,"National"
2022,0.692260625686941,"National"
2023,0.689991689054035,"National"
2016,0.669969507584064,"Alabama"
2017,0.673427124235952,"Alabama"
2018,0.646663997770897,"Alabama"
2019,0.671553529993936,"Alabama"
2020,0.672652104415926,"Alabama"
2021,0.645836432442544,"Alabama"
2022,0.642089321716022,"Alabama"
2023,0.636619885183042,"Alabama"
2015,0.645974258012369,"Alabama, East South Central, South, United States"
2016,0.568461538984499,"Alaska"
2017,0.599213939679252,"Alaska"
2018,0.597867155613914,"Alaska"
2019,0.608228072646352,"Alaska"
2020,0.591017438593378,"Alaska"
2021,0.546827280353177,"Alaska"
2022,0.581465280660558,"Alaska"
2023,0.585432930292469,"Alaska"
2015,0.578808685935473,"Alaska, Pacific, West, United States"
2016,0.56231425043942,"Arizona"
2017,0.564673095173666,"Arizona"
2018,0.568205136514372,"Arizona"
2019,0.568036328703381,"Arizona"
2020,0.567847162580899,"Arizona"
2021,0.569100792140689,"Arizona"
2022,0.571878095777061,"Arizona"
2023,0.572760849196626,"Arizona"
2015,0.564334785374874,"Arizona, Mountain, West, United States"
2016,0.659299638625423,"Arkansas"
2017,0.65661857954,"Arkansas"
2018,0.652804026727003,"Arkansas"
2019,0.648150064241476,"Arkansas"
2020,0.648885701488149,"Arkansas"
2021,0.649377492897674,"Arkansas"
2022,0.659162632070452,"Arkansas"
2023,0.65782840069084,"Arkansas"
2015,0.658158671374993,"Arkansas, West South Central, South, United States"
2016,0.601380862261453,"California"
2017,0.598863597956129,"California"
2018,0.598853310724196,"California"
2019,0.597962894229941,"California"
2020,0.598875063099238,"California"
2021,0.601066376272971,"California"
2022,0.594481582786785,"California"
2023,0.591343210007254,"California"
2015,0.602673794775658,"California, Pacific, West, United States"
2016,0.398238173359839,"Colorado"
2017,0.392375560439127,"Colorado"
2018,0.404538990984866,"Colorado"
2019,0.394866386917956,"Colorado"
2020,0.394154002024459,"Colorado"
2021,0.399050594684071,"Colorado"
2022,0.396186895125086,"Colorado"
2023,0.394976664719357,"Colorado"
2015,0.41293649298593,"Colorado, Mountain, West, United States"
2016,0.284642557091052,"Connecticut"
2017,0.280530863069367,"Connecticut"
2018,0.279657014326742,"Connecticut"
2019,0.273864945781023,"Connecticut"
2015,0.285420844029284,"Connecticut, New England, Northeast, United States"
2016,0.533904962298624,"Delaware"
2017,0.565150685729777,"Delaware"
2018,0.577670870513099,"Delaware"
2019,0.586515122749201,"Delaware"
2020,0.516666622089402,"Delaware"
2021,0.579349675039778,"Delaware"
2022,0.582998399951079,"Delaware"
2023,0.577558304323777,"Delaware"
2015,0.546618617189827,"Delaware, South Atlantic, South, United States"
2016,NA,"District of Columbia"
2017,NA,"District of Columbia"
2018,NA,"District of Columbia"
2019,NA,"District of Columbia"
2020,NA,"District of Columbia"
2021,NA,"District of Columbia"
2022,NA,"District of Columbia"
2023,NA,"District of Columbia"
2015,NA,"District of Columbia, South Atlantic, South, United States"
2016,0.46898657709852,"Florida"
2017,0.46883541473512,"Florida"
2018,0.470231162058946,"Florida"
2019,0.468821997065761,"Florida"
2020,0.468542136652886,"Florida"
2021,0.466965876973982,"Florida"
2022,0.468632590427224,"Florida"
2023,0.467199431213022,"Florida"
2015,0.472094816699838,"Florida, South Atlantic, South, United States"
2016,0.623126234524078,"Georgia"
2017,0.622919800775815,"Georgia"
2018,0.627613559388426,"Georgia"
2019,0.636496008082421,"Georgia"
2020,0.63225956312872,"Georgia"
2021,0.63116929668012,"Georgia"
2022,0.633657730936772,"Georgia"
2023,0.630858635709029,"Georgia"
