"id","name","care_focus","median_wage","geo"
"childcare-workers-state23","Childcare Workers","developmental","17000","state23"
"childcare-workers-state33","Childcare Workers","developmental","15000","state33"
"childcare-workers-state50","Childcare Workers","developmental","18000","state50"
"childcare-workers-state25","Childcare Workers","developmental","18000","state25"
"childcare-workers-state44","Childcare Workers","developmental","20000","state44"
"childcare-workers-state09","Childcare Workers","developmental","25000","state09"
"childcare-workers-state36","Childcare Workers","developmental","25000","state36"
"childcare-workers-state34","Childcare Workers","developmental","19240","state34"
"childcare-workers-state42","Childcare Workers","developmental","29000","state42"
"childcare-workers-state39","Childcare Workers","developmental","20000","state39"
"childcare-workers-state18","Childcare Workers","developmental","12000","state18"
"childcare-workers-state17","Childcare Workers","developmental","18000","state17"
"childcare-workers-state26","Childcare Workers","developmental","17000","state26"
"childcare-workers-state55","Childcare Workers","developmental","14000","state55"
"childcare-workers-state27","Childcare Workers","developmental","10300","state27"
"childcare-workers-state19","Childcare Workers","developmental","24000","state19"
"childcare-workers-state29","Childcare Workers","developmental","20093","state29"
"childcare-workers-state38","Childcare Workers","developmental","12500","state38"
"childcare-workers-state46","Childcare Workers","developmental","22000","state46"
"childcare-workers-state31","Childcare Workers","developmental","12484","state31"
"childcare-workers-state20","Childcare Workers","developmental","11000","state20"
"childcare-workers-state10","Childcare Workers","developmental","21000","state10"
"childcare-workers-state24","Childcare Workers","developmental","29500","state24"
"childcare-workers-state11","Childcare Workers","developmental","30000","state11"
"childcare-workers-state51","Childcare Workers","developmental","22000","state51"
"childcare-workers-state54","Childcare Workers","developmental","23000","state54"
"childcare-workers-state37","Childcare Workers","developmental","26000","state37"
"childcare-workers-state45","Childcare Workers","developmental","20600","state45"
"childcare-workers-state13","Childcare Workers","developmental","20800","state13"
"childcare-workers-state12","Childcare Workers","developmental","20000","state12"
"childcare-workers-state21","Childcare Workers","developmental","15000","state21"
"childcare-workers-state47","Childcare Workers","developmental","17000","state47"
"childcare-workers-state01","Childcare Workers","developmental","20000","state01"
"childcare-workers-state28","Childcare Workers","developmental","10000","state28"
"childcare-workers-state05","Childcare Workers","developmental","21600","state05"
"childcare-workers-state22","Childcare Workers","developmental","12903","state22"
"childcare-workers-state40","Childcare Workers","developmental","26936","state40"
"childcare-workers-state48","Childcare Workers","developmental","20000","state48"
"childcare-workers-state30","Childcare Workers","developmental","20000","state30"
"childcare-workers-state16","Childcare Workers","developmental","17499.1320000003","state16"
"childcare-workers-state56","Childcare Workers","developmental","15000","state56"
"childcare-workers-state08","Childcare Workers","developmental","26000","state08"
"childcare-workers-state35","Childcare Workers","developmental","23145","state35"
"childcare-workers-state04","Childcare Workers","developmental","24000","state04"
"childcare-workers-state49","Childcare Workers","developmental","18000","state49"
"childcare-workers-state32","Childcare Workers","developmental","18720","state32"
"childcare-workers-state53","Childcare Workers","developmental","25000","state53"
"childcare-workers-state41","Childcare Workers","developmental","12000","state41"
"childcare-workers-state06","Childcare Workers","developmental","23000","state06"
"childcare-workers-state02","Childcare Workers","developmental","27000","state02"
"childcare-workers-state15","Childcare Workers","developmental","20000","state15"
"cooks-chefs-state23","Cooks/Chefs","daily_living","24960","state23"
"cooks-chefs-state33","Cooks/Chefs","daily_living","26000","state33"
"cooks-chefs-state50","Cooks/Chefs","daily_living","30000","state50"
"cooks-chefs-state25","Cooks/Chefs","daily_living","26000","state25"
"cooks-chefs-state44","Cooks/Chefs","daily_living","40000","state44"
"cooks-chefs-state09","Cooks/Chefs","daily_living","27000","state09"
"cooks-chefs-state36","Cooks/Chefs","daily_living","25000","state36"
"cooks-chefs-state34","Cooks/Chefs","daily_living","25000","state34"
"cooks-chefs-state42","Cooks/Chefs","daily_living","27000","state42"
"cooks-chefs-state39","Cooks/Chefs","daily_living","20000","state39"
"cooks-chefs-state18","Cooks/Chefs","daily_living","23382","state18"
"cooks-chefs-state17","Cooks/Chefs","daily_living","23660","state17"
"cooks-chefs-state26","Cooks/Chefs","daily_living","20000","state26"
"cooks-chefs-state55","Cooks/Chefs","daily_living","20000","state55"
"cooks-chefs-state27","Cooks/Chefs","daily_living","26000","state27"
"cooks-chefs-state19","Cooks/Chefs","daily_living","20800","state19"
"cooks-chefs-state29","Cooks/Chefs","daily_living","25000","state29"
"cooks-chefs-state38","Cooks/Chefs","daily_living","27000","state38"
"cooks-chefs-state46","Cooks/Chefs","daily_living","25000","state46"
"cooks-chefs-state31","Cooks/Chefs","daily_living","22000","state31"
"cooks-chefs-state20","Cooks/Chefs","daily_living","20000","state20"
"cooks-chefs-state10","Cooks/Chefs","daily_living","25000","state10"
"cooks-chefs-state24","Cooks/Chefs","daily_living","30000","state24"
"cooks-chefs-state11","Cooks/Chefs","daily_living","24000","state11"
"cooks-chefs-state51","Cooks/Chefs","daily_living","24180","state51"
"cooks-chefs-state54","Cooks/Chefs","daily_living","20800","state54"
"cooks-chefs-state37","Cooks/Chefs","daily_living","23013","state37"
"cooks-chefs-state45","Cooks/Chefs","daily_living","23000","state45"
"cooks-chefs-state13","Cooks/Chefs","daily_living","21600","state13"
"cooks-chefs-state12","Cooks/Chefs","daily_living","25000","state12"
"cooks-chefs-state21","Cooks/Chefs","daily_living","20000","state21"
"cooks-chefs-state47","Cooks/Chefs","daily_living","24000","state47"
"cooks-chefs-state01","Cooks/Chefs","daily_living","25000","state01"
"cooks-chefs-state28","Cooks/Chefs","daily_living","20000","state28"
"cooks-chefs-state05","Cooks/Chefs","daily_living","19240","state05"
"cooks-chefs-state22","Cooks/Chefs","daily_living","20000","state22"
"cooks-chefs-state40","Cooks/Chefs","daily_living","19200","state40"
"cooks-chefs-state48","Cooks/Chefs","daily_living","23000","state48"
"cooks-chefs-state30","Cooks/Chefs","daily_living","23507","state30"
"cooks-chefs-state16","Cooks/Chefs","daily_living","17000","state16"
"cooks-chefs-state56","Cooks/Chefs","daily_living","21000","state56"
"cooks-chefs-state08","Cooks/Chefs","daily_living","30000","state08"
"cooks-chefs-state35","Cooks/Chefs","daily_living","22000","state35"
"cooks-chefs-state04","Cooks/Chefs","daily_living","26000","state04"
"cooks-chefs-state49","Cooks/Chefs","daily_living","22880","state49"
"cooks-chefs-state32","Cooks/Chefs","daily_living","28000","state32"
"cooks-chefs-state53","Cooks/Chefs","daily_living","25000","state53"
"cooks-chefs-state41","Cooks/Chefs","daily_living","28000","state41"
"cooks-chefs-state06","Cooks/Chefs","daily_living","28000","state06"
"cooks-chefs-state02","Cooks/Chefs","daily_living","29200","state02"
"cooks-chefs-state15","Cooks/Chefs","daily_living","31200","state15"
"counselors-state23","Counselors","health","43000","state23"
"counselors-state33","Counselors","health","42000","state33"
"counselors-state50","Counselors","health","50000","state50"
"counselors-state25","Counselors","health","60000","state25"
"counselors-state44","Counselors","health","52000","state44"
"counselors-state09","Counselors","health","56000","state09"
"counselors-state36","Counselors","health","47000","state36"
"counselors-state34","Counselors","health","62000","state34"
"counselors-state42","Counselors","health","47000","state42"
"counselors-state39","Counselors","health","48000","state39"
"counselors-state18","Counselors","health","49000","state18"
"counselors-state17","Counselors","health","56000","state17"
"counselors-state26","Counselors","health","45000","state26"
"counselors-state55","Counselors","health","60000","state55"
"counselors-state27","Counselors","health","46000","state27"
"counselors-state19","Counselors","health","52000","state19"
"counselors-state29","Counselors","health","45000","state29"
"counselors-state38","Counselors","health","50000","state38"
"counselors-state46","Counselors","health","50000","state46"
"counselors-state31","Counselors","health","50000","state31"
"counselors-state20","Counselors","health","32000","state20"
"counselors-state10","Counselors","health","42000","state10"
"counselors-state24","Counselors","health","48000","state24"
"counselors-state11","Counselors","health","62000","state11"
"counselors-state51","Counselors","health","50000","state51"
"counselors-state54","Counselors","health","45000","state54"
"counselors-state37","Counselors","health","48000","state37"
"counselors-state45","Counselors","health","48000","state45"
"counselors-state13","Counselors","health","41086","state13"
"counselors-state12","Counselors","health","48880","state12"
"counselors-state21","Counselors","health","45000","state21"
"counselors-state47","Counselors","health","40000","state47"
"counselors-state01","Counselors","health","57000","state01"
"counselors-state28","Counselors","health","45000","state28"
"counselors-state05","Counselors","health","42000","state05"
"counselors-state22","Counselors","health","40000","state22"
"counselors-state40","Counselors","health","47000","state40"
"counselors-state48","Counselors","health","53000","state48"
"counselors-state30","Counselors","health","38000","state30"
"counselors-state16","Counselors","health","56000","state16"
"counselors-state56","Counselors","health","47500","state56"
"counselors-state08","Counselors","health","49000","state08"
"counselors-state35","Counselors","health","42000","state35"
"counselors-state04","Counselors","health","52000","state04"
"counselors-state49","Counselors","health","48000","state49"
"counselors-state32","Counselors","health","48880","state32"
"counselors-state53","Counselors","health","55000","state53"
"counselors-state41","Counselors","health","50000","state41"
"counselors-state06","Counselors","health","50000","state06"
"counselors-state02","Counselors","health","58000","state02"
"counselors-state15","Counselors","health","49947","state15"
"dentists-state23","Dentists","health","60000","state23"
"dentists-state33","Dentists","health","50000","state33"
"dentists-state50","Dentists","health","56561","state50"
"dentists-state25","Dentists","health","67000","state25"
"dentists-state44","Dentists","health","61000","state44"
"dentists-state09","Dentists","health","60000","state09"
"dentists-state36","Dentists","health","50000","state36"
"dentists-state34","Dentists","health","55000","state34"
"dentists-state42","Dentists","health","50000","state42"
"dentists-state39","Dentists","health","53000","state39"
"dentists-state18","Dentists","health","50000","state18"
"dentists-state17","Dentists","health","57000","state17"
"dentists-state26","Dentists","health","43000","state26"
"dentists-state55","Dentists","health","50002","state55"
"dentists-state27","Dentists","health","54000","state27"
"dentists-state19","Dentists","health","50000","state19"
"dentists-state29","Dentists","health","40000","state29"
"dentists-state38","Dentists","health","54668.5119999998","state38"
"dentists-state46","Dentists","health","45000","state46"
"dentists-state31","Dentists","health","40000","state31"
"dentists-state20","Dentists","health","40000","state20"
"dentists-state10","Dentists","health","49000","state10"
"dentists-state24","Dentists","health","100000","state24"
"dentists-state51","Dentists","health","66191","state51"
"dentists-state54","Dentists","health","35000","state54"
"dentists-state37","Dentists","health","55000","state37"
"dentists-state45","Dentists","health","44000","state45"
