"id","name","care_focus","median_wage","geo_level"
"animal-care","Animal Care","daily_living","27000","state25"
"animal-care","Animal Care","daily_living","40000","state48"
"animal-care","Animal Care","daily_living","50000","state34"
"animal-care","Animal Care","daily_living","8000","state04"
"animal-care","Animal Care","daily_living","NULL","state53"
"animal-care","Animal Care","daily_living","24000","state47"
"animal-care","Animal Care","daily_living","38800","state06"
"animal-care","Animal Care","daily_living","7800","state26"
"animal-care","Animal Care","daily_living","42000","state05"
"animal-care","Animal Care","daily_living","35000","state40"
"animal-care","Animal Care","daily_living","28678","state36"
"animal-care","Animal Care","daily_living","NULL","state49"
"animal-care","Animal Care","daily_living","22000","state55"
"animal-care","Animal Care","daily_living","NULL","state31"
"animal-care","Animal Care","daily_living","8000","state29"
"animal-care","Animal Care","daily_living","18500","state42"
"animal-care","Animal Care","daily_living","20000","state39"
"animal-care","Animal Care","daily_living","11000","state18"
"animal-care","Animal Care","daily_living","10000","state27"
"animal-care","Animal Care","daily_living","114000","state28"
"animal-care","Animal Care","daily_living","35000","state35"
"animal-care","Animal Care","daily_living","15000","state21"
"animal-care","Animal Care","daily_living","NULL","state44"
"animal-care","Animal Care","daily_living","42240","state19"
"animal-care","Animal Care","daily_living","5000","state51"
"animal-care","Animal Care","daily_living","36400","state12"
"animal-care","Animal Care","daily_living","NULL","state38"
"animal-care","Animal Care","daily_living","25000","state45"
"animal-care","Animal Care","daily_living","30000","state46"
"animal-care","Animal Care","daily_living","41000","state41"
"animal-care","Animal Care","daily_living","NULL","state32"
"animal-care","Animal Care","daily_living","NULL","state23"
"animal-care","Animal Care","daily_living","2600","state01"
"animal-care","Animal Care","daily_living","29500","state30"
"animal-care","Animal Care","daily_living","14000","state17"
"animal-care","Animal Care","daily_living","38000","state13"
"animal-care","Animal Care","daily_living","40000","state37"
"animal-care","Animal Care","daily_living","30000","state20"
"animal-care","Animal Care","daily_living","57000","state16"
"animal-care","Animal Care","daily_living","22000","state22"
"animal-care","Animal Care","daily_living","NULL","state24"
"animal-care","Animal Care","daily_living","14000","state50"
"animal-care","Animal Care","daily_living","5000","state08"
"animal-care","Animal Care","daily_living","5000","state11"
"animal-care","Animal Care","daily_living","NULL","state54"
"animal-care","Animal Care","daily_living","NULL","state56"
"animal-care","Animal Care","daily_living","80000","state15"
"animal-care","Animal Care","daily_living","NULL","state09"
"animal-care","Animal Care","daily_living","3000","state02"
"animal-care","Animal Care","daily_living","NULL","state33"
"animal-care","Animal Care","daily_living","60000","state10"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","28000","state09"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","38780","state36"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","26000","state48"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","30000","state18"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","32000","state06"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","30000","state27"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","41768","state19"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","32400","state21"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","31200","state17"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","30000","state05"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","32000","state53"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","50000","state39"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","27000","state30"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","35000","state12"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","37000","state51"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","30000","state13"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","27040","state01"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","30000","state34"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","36568","state47"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","35000","state26"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","32000","state24"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","33500","state29"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","25000","state55"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","30000","state42"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","26000","state45"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","27900","state22"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","50000","state25"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","24000","state37"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","30002","state08"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","27002","state40"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","30000","state38"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","30000","state04"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","33000","state20"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","42000","state23"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","41000","state46"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","25600","state28"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","30000","state41"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","27000","state16"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","35000","state44"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","30000","state49"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","34000","state35"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","35000","state31"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","35000","state15"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","30000","state54"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","42000","state11"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","34800","state33"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","30000","state50"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","32000","state02"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","38000","state32"
"appliance-tool-organization","Appliance/Tool Organization","daily_living","33000","state56"
"attending-children-s-events","Attending Children's events","developmental","7020","state26"
"attending-children-s-events","Attending Children's events","developmental","117000","state21"
"attending-children-s-events","Attending Children's events","developmental","26000","state36"
"attending-children-s-events","Attending Children's events","developmental","25000","state24"
"attending-children-s-events","Attending Children's events","developmental","25000","state53"
"attending-children-s-events","Attending Children's events","developmental","14000","state27"
"attending-children-s-events","Attending Children's events","developmental","14000","state19"
"attending-children-s-events","Attending Children's events","developmental","25000","state48"
"attending-children-s-events","Attending Children's events","developmental","15000","state15"
"attending-children-s-events","Attending Children's events","developmental","10000","state20"
"attending-children-s-events","Attending Children's events","developmental","18000","state34"
"attending-children-s-events","Attending Children's events","developmental","20000","state30"
"attending-children-s-events","Attending Children's events","developmental","25000","state47"
"attending-children-s-events","Attending Children's events","developmental","20000","state17"
"attending-children-s-events","Attending Children's events","developmental","26000","state25"
"attending-children-s-events","Attending Children's events","developmental","37200","state13"
"attending-children-s-events","Attending Children's events","developmental","6000","state04"
"attending-children-s-events","Attending Children's events","developmental","26000","state37"
"attending-children-s-events","Attending Children's events","developmental","23700","state01"
"attending-children-s-events","Attending Children's events","developmental","5000","state55"
"attending-children-s-events","Attending Children's events","developmental","35000","state38"
"attending-children-s-events","Attending Children's events","developmental","25000","state09"
"attending-children-s-events","Attending Children's events","developmental","25000","state06"
"attending-children-s-events","Attending Children's events","developmental","20000","state28"
"attending-children-s-events","Attending Children's events","developmental","27000","state45"
"attending-children-s-events","Attending Children's events","developmental","12000","state41"
"attending-children-s-events","Attending Children's events","developmental","13800","state18"
"attending-children-s-events","Attending Children's events","developmental","30000","state42"
"attending-children-s-events","Attending Children's events","developmental","32000","state51"
"attending-children-s-events","Attending Children's events","developmental","24000","state12"
"attending-children-s-events","Attending Children's events","developmental","19200","state49"
"attending-children-s-events","Attending Children's events","developmental","10800","state10"
"attending-children-s-events","Attending Children's events","developmental","16000","state39"
"attending-children-s-events","Attending Children's events","developmental","28000","state31"
"attending-children-s-events","Attending Children's events","developmental","15000","state46"
"attending-children-s-events","Attending Children's events","developmental","16000","state08"
"attending-children-s-events","Attending Children's events","developmental","NULL","state29"
"attending-children-s-events","Attending Children's events","developmental","12000","state05"
"attending-children-s-events","Attending Children's events","developmental","23145","state35"
"attending-children-s-events","Attending Children's events","developmental","15000","state32"
"attending-children-s-events","Attending Children's events","developmental","NULL","state40"
"attending-children-s-events","Attending Children's events","developmental","23000","state54"
"attending-children-s-events","Attending Children's events","developmental","22000","state16"
"attending-children-s-events","Attending Children's events","developmental","11000","state22"
"attending-children-s-events","Attending Children's events","developmental","18000","state33"
"attending-children-s-events","Attending Children's events","developmental","78000","state44"
"attending-children-s-events","Attending Children's events","developmental","50002","state02"
