"geo","gender","provider_status","time_use","care_type","care_focus","provider_attention","provision_interval","population"
"state23","female","other","care","formal","daily_living","active",51563.1428571429,51842.96
"state33","female","other","care","formal","daily_living","active",640923.428571429,63401.95
"state50","female","other","care","formal","daily_living","active",440597.228571429,21295.84
"state25","female","other","care","formal","daily_living","active",5461672.37142857,395725.39
"state44","female","other","care","formal","daily_living","active",1094086.97142857,58294.62
"state09","female","other","care","formal","daily_living","active",3959726.05714286,204036.5
"state36","female","other","care","formal","daily_living","active",24193925.1428571,1108136.27
"state34","female","other","care","formal","daily_living","active",14995664.4857143,651558.77
"state42","female","other","care","formal","daily_living","active",14742925.4571429,795675.78
"state39","female","other","care","formal","daily_living","active",17349603,577574.93
"state18","female","other","care","formal","daily_living","active",7818774.34285714,250793.18
"state17","female","other","care","formal","daily_living","active",14647477.0285714,577251.97
"state26","female","other","care","formal","daily_living","active",8318150.14285714,550407.04
"state55","female","other","care","formal","daily_living","active",3296845.2,229278.05
"state27","female","other","care","formal","daily_living","active",5772279.42857143,180444.5
"state19","female","other","care","formal","daily_living","active",2431940.74285714,90265.65
"state29","female","other","care","formal","daily_living","active",4444747.71428571,273198.35
"state38","female","other","care","formal","daily_living","active",220822.714285714,19850.93
"state46","female","other","care","formal","daily_living","active",1671160.28571429,30165.95
"state31","female","other","care","formal","daily_living","active",281326.285714286,53635.95
"state20","female","other","care","formal","daily_living","active",1627170.85714286,103032.4
"state10","female","other","care","formal","daily_living","active",1554327.42857143,53128.82
"state24","female","other","care","formal","daily_living","active",8887872.85714286,364302.13
"state11","female","other","care","formal","daily_living","active",241004.571428571,24216.07
"state51","female","other","care","formal","daily_living","active",12085482.1714286,424295.86
"state54","female","other","care","formal","daily_living","active",2109535.54285714,81430.64
"state37","female","other","care","formal","daily_living","active",12915756.4285714,438171.03
"state45","female","other","care","formal","daily_living","active",5084319.17142857,232738.62
"state13","female","other","care","formal","daily_living","active",10462631.1428571,480036.97
"state12","female","other","care","formal","daily_living","active",28684122.5142857,1294642.47
"state21","female","other","care","formal","daily_living","active",3333642.51428571,175042.13
"state47","female","other","care","formal","daily_living","active",7823685.6,345636.85
"state01","female","other","care","formal","daily_living","active",2705255.48571429,237666.09
"state28","female","other","care","formal","daily_living","active",4532663.31428571,146600.32
"state05","female","other","care","formal","daily_living","active",1867432.8,151690.7
"state22","female","other","care","formal","daily_living","active",5633201.05714286,247822.31
"state40","female","other","care","formal","daily_living","active",6801951.42857143,167573.03
"state48","female","other","care","formal","daily_living","active",40781485.2857143,1550260.33
"state30","female","other","care","formal","daily_living","active",295848,29578.97
"state16","female","other","care","formal","daily_living","active",1887401.74285714,65583.78
"state56","female","other","care","formal","daily_living","active",418645.371428571,18140.07
"state08","female","other","care","formal","daily_living","active",4493201.14285714,248469.85
"state35","female","other","care","formal","daily_living","active",3874158.68571429,101850.81
"state04","female","other","care","formal","daily_living","active",7796105.48571429,340757.6
"state49","female","other","care","formal","daily_living","active",3684309.17142857,129353.37
"state32","female","other","care","formal","daily_living","active",5491039.88571429,178045.25
"state53","female","other","care","formal","daily_living","active",6525813.85714286,306321.57
"state41","female","other","care","formal","daily_living","active",5703003.08571429,163970.7
"state06","female","other","care","formal","daily_living","active",68060989.9714286,2413965.03
"state02","female","other","care","formal","daily_living","active",302198.571428571,24734.15
"state15","female","other","care","formal","daily_living","active",2523228.08571429,100043.03
"national","female","other","care","formal","daily_living","active",400021694.4,16821935.53
"state23","female","other","care","formal","developmental","active",2749793.48571429,51842.96
"state33","female","other","care","formal","developmental","active",3740676.34285714,63401.95
"state50","female","other","care","formal","developmental","active",808217.485714286,21295.84
"state25","female","other","care","formal","developmental","active",15218257.4571429,395725.39
"state44","female","other","care","formal","developmental","active",887020.285714286,58294.62
"state09","female","other","care","formal","developmental","active",6969075,204036.5
"state36","female","other","care","formal","developmental","active",16886865.8571429,1108136.27
"state34","female","other","care","formal","developmental","active",12637902.6857143,651558.77
"state42","female","other","care","formal","developmental","active",14630741.9142857,795675.78
"state39","female","other","care","formal","developmental","active",13943169.4285714,577574.93
"state18","female","other","care","formal","developmental","active",2851470.17142857,250793.18
"state17","female","other","care","formal","developmental","active",12438699.2571429,577251.97
"state26","female","other","care","formal","developmental","active",4877907.08571429,550407.04
"state55","female","other","care","formal","developmental","active",3317177.57142857,229278.05
"state27","female","other","care","formal","developmental","active",5880092.05714286,180444.5
"state19","female","other","care","formal","developmental","active",2206679.14285714,90265.65
"state29","female","other","care","formal","developmental","active",5128150.62857143,273198.35
"state38","female","other","care","formal","developmental","active",341267.828571429,19850.93
"state46","female","other","care","formal","developmental","active",1303948.28571429,30165.95
"state31","female","other","care","formal","developmental","active",1402025.14285714,53635.95
"state20","female","other","care","formal","developmental","active",2376387.6,103032.4
"state10","female","other","care","formal","developmental","active",527985.428571429,53128.82
"state24","female","other","care","formal","developmental","active",5163496.45714286,364302.13
"state11","female","other","care","formal","developmental","active",344165.142857143,24216.07
"state51","female","other","care","formal","developmental","active",11645127.8571429,424295.86
"state54","female","other","care","formal","developmental","active",1985509.45714286,81430.64
"state37","female","other","care","formal","developmental","active",6234572.05714286,438171.03
"state45","female","other","care","formal","developmental","active",3461796,232738.62
"state13","female","other","care","formal","developmental","active",10153761.8571429,480036.97
"state12","female","other","care","formal","developmental","active",22067680.2857143,1294642.47
"state21","female","other","care","formal","developmental","active",3979457.14285714,175042.13
"state47","female","other","care","formal","developmental","active",6862873.45714286,345636.85
"state01","female","other","care","formal","developmental","active",5463055.54285714,237666.09
"state28","female","other","care","formal","developmental","active",2792904.85714286,146600.32
"state05","female","other","care","formal","developmental","active",1686300.85714286,151690.7
"state22","female","other","care","formal","developmental","active",7774297.97142857,247822.31
"state40","female","other","care","formal","developmental","active",2995382.22857143,167573.03
"state48","female","other","care","formal","developmental","active",33200423.4857143,1550260.33
"state30","female","other","care","formal","developmental","active",93006.8571428571,29578.97
"state16","female","other","care","formal","developmental","active",1445070,65583.78
"state56","female","other","care","formal","developmental","active",175971.857142857,18140.07
"state08","female","other","care","formal","developmental","active",3124329.77142857,248469.85
