"age","care_focus","need_interval","provision_interval"
0,"daily_living",720,0
0,"developmental",420,0
0,"health",300,0
1,"daily_living",720,0
1,"developmental",420,0
1,"health",300,0
2,"daily_living",720,0
2,"developmental",420,0
2,"health",300,0
3,"daily_living",720,0
3,"developmental",420,0
3,"health",300,0
4,"daily_living",720,0
4,"developmental",420,0
4,"health",300,0
5,"daily_living",720,0
5,"developmental",420,0
5,"health",300,0
6,"daily_living",810,0
6,"developmental",480,0
6,"health",150,0
7,"daily_living",810,0
7,"developmental",480,0
7,"health",150,0
8,"daily_living",810,0
8,"developmental",480,0
8,"health",150,0
9,"daily_living",810,0
9,"developmental",480,0
9,"health",150,0
10,"daily_living",810,0
10,"developmental",480,0
10,"health",150,0
11,"daily_living",810,0
11,"developmental",480,0
11,"health",150,0
12,"daily_living",810,0
12,"developmental",480,0
12,"health",150,0
13,"daily_living",798.6623482273,0
13,"developmental",421.214644305321,0
13,"health",115.886291915358,0
14,"daily_living",783.185666356946,2.61978241043789
14,"developmental",398.885536315819,0
14,"health",106.095573012258,0
15,"daily_living",760.627408155235,13.6822495838648
15,"developmental",372.238384021171,0
15,"health",95.5312939612261,3.9429472555261
16,"daily_living",711.731394713466,25.4653562880086
16,"developmental",336.17761257686,0
16,"health",85.4766612497328,11.1080971868498
17,"daily_living",614.107043541512,39.9376736894329
17,"developmental",282.474488986917,12.4531032661044
17,"health",75.9263238158401,22.6511795172261
18,"daily_living",487.932052471578,58.6249965027779
18,"developmental",218.589582905471,40.6471412369343
18,"health",66.7657512442441,38.0517896745174
19,"daily_living",377.802663078462,78.860846973676
19,"developmental",162.961273463154,75.1073784223895
19,"health",59.1143809923681,55.5045006954199
20,"daily_living",264.304542317674,97.9787473477594
20,"developmental",104.717808574658,114.751683407457
20,"health",49.4095562315162,73.2038856166299
21,"daily_living",160.918003275529,113.31221987066
21,"developmental",52.2224447467083,158.497924777125
21,"health",41.7758652325574,89.3445174748438
22,"daily_living",114.315719230624,126.317121498425
22,"developmental",29.6347952675825,217.940000835515
22,"health",42.0107100167144,107.519554793299
23,"daily_living",102.350664945569,138.993682127289
23,"developmental",22.1745006132826,290.256939074024
23,"health",45.9872098002628,128.179132385661
24,"daily_living",102.350664945569,149.491983413167
24,"developmental",18.7224935840751,352.744301858547
24,"health",51.4692454825536,144.803287724267
25,"daily_living",102.350664945569,154.833314423043
25,"developmental",20.4514383242086,411.72119862002
25,"health",59.4696767124986,156.564874990459
26,"daily_living",102.350664945569,156.465652746906
26,"developmental",29.071940982581,476.554800890956
26,"health",70.4192370586958,166.81461999124
27,"daily_living",106.090622632867,159.179112825169
27,"developmental",34.2718473664318,529.112764189616
27,"health",81.2086183000246,175.299367637444
28,"daily_living",105.30453500056,163.679137285531
28,"developmental",33.9925257618076,565.459367869388
28,"health",93.8862504897883,181.380569927387
29,"daily_living",104.82498316233,167.640396005465
29,"developmental",33.3422809278522,594.285956447253
29,"health",108.256533232184,185.021902327681
30,"daily_living",104.844461326106,171.306844300046
30,"developmental",32.7593633814508,616.400783186859
30,"health",117.84411263243,186.873544951596
31,"daily_living",105.135395816635,174.922437484351
31,"developmental",31.7057423312306,632.612101351855
31,"health",123.130094348246,187.585677912406
32,"daily_living",105.935598686775,178.731130873453
32,"developmental",30.7385473012151,643.728164205889
32,"health",125.155092205419,187.808481323381
33,"daily_living",108.065578732693,182.76733373809
33,"developmental",31.3171979462808,647.982101619012
33,"health",117.407277938617,186.762592565012
34,"daily_living",111.035811634087,186.739354664878
34,"developmental",32.6123183650071,644.771177023997
34,"health",103.463695415712,183.857930916078
35,"daily_living",113.771820516348,190.40199794271
35,"developmental",33.2717062129273,636.649844028573
35,"health",92.821561193838,180.02859933729
36,"daily_living",116.664159733157,193.510067860484
36,"developmental",34.5799986324632,626.172556240468
36,"health",82.4788791545737,176.208700789356
37,"daily_living",119.497218663195,195.818368707094
37,"developmental",34.9255447951638,615.893767267412
37,"health",74.4347327082105,173.332338232987
38,"daily_living",121.347496816527,197.193268764889
38,"developmental",30.4878650570452,603.666569256436
38,"health",78.9724365779013,171.245034521493
39,"daily_living",122.760160554489,197.832039040907
39,"developmental",23.7600161287616,586.925445120078
39,"health",89.8432241950699,169.09927567138
40,"daily_living",123.954485816891,197.985837911073
40,"developmental",18.5156682414946,567.596934614326
40,"health",99.2478094723222,166.789609388147
41,"daily_living",124.728512189221,197.905823751311
41,"developmental",11.9861988050575,547.607577495168
41,"health",111.397768923356,164.21058337729
42,"daily_living",125.378794233526,197.843154937546
42,"developmental",7.11571461285056,528.883913518591
42,"health",121.728907922276,161.256745344309
43,"daily_living",126.23186165766,197.348883043878
43,"developmental",9.08860826533198,509.38171224717
43,"health",120.365241044098,158.45513058774
44,"daily_living",127.067008114497,196.30760575046
44,"developmental",14.153089608756,488.220572648909
44,"health",114.24222942828,155.873994148444
45,"daily_living",128.030427926217,195.470800592298
45,"developmental",21.2476488183784,469.072778587935
45,"health",107.614100124704,152.71971334541
46,"daily_living",129.190356788149,194.902342610722
46,"developmental",34.0547791898549,452.066308724361
46,"health",98.9151709200388,148.594100087058
47,"daily_living",130.398147978899,194.272800045921
47,"developmental",51.1886679947264,435.237031565513
47,"health",87.4271353195764,144.005523414759
48,"daily_living",131.474672195569,193.743690231186
48,"developmental",63.9853463720769,419.119065746338
48,"health",78.6752839511301,139.520196346931
49,"daily_living",132.115493506123,193.18033289931
49,"developmental",71.0733426556592,403.491305125767
49,"health",74.9863366385009,134.553874372678
50,"daily_living",132.563584722668,192.451971971639
50,"developmental",75.6916907245825,388.107304853457
50,"health",73.4945054288625,128.641693393186
51,"daily_living",133.460929658523,191.726011064298
51,"developmental",76.0921800359654,373.463175500448
51,"health",71.9363192850873,122.52893704499
52,"daily_living",134.487793963595,191.169853793411
52,"developmental",67.1083959754628,360.055027637781
52,"health",69.8754608863255,116.960888964625
53,"daily_living",135.93244842848,190.950903775103
53,"developmental",56.554445322654,348.378971836497
53,"health",68.3084784294595,112.682832788626
54,"daily_living",138.654976354919,190.314731035987
54,"developmental",48.9494654469166,337.583677013356
54,"health",66.4559316965811,110.652258052153
55,"daily_living",142.090859138333,189.369446421389
55,"developmental",39.9599333117868,327.455195902289
55,"health",64.4247210670539,109.980683002744
56,"daily_living",145.65718544359,189.576264775502
56,"developmental",34.0294298565075,319.445714800091
56,"health",63.430184676256,108.644434345505
57,"daily_living",149.324510917051,190.796934582323
57,"developmental",34.7037305194179,313.222004604891
57,"health",64.5308840812691,106.527231860352
58,"daily_living",153.284304922192,192.374078169712
58,"developmental",38.8983992151677,308.024446987735
58,"health",66.9622701075241,104.625481292566
59,"daily_living",157.285026699553,194.990221147662
59,"developmental",41.1116995974657,304.665644404793
59,"health",69.2050147929234,102.584538295303
60,"daily_living",160.990182358684,199.352274650056
60,"developmental",39.8002491107889,305.541347658112
60,"health",70.8787244491089,100.345601456556
61,"daily_living",164.670537487211,205.213152862368
61,"developmental",37.3135165864748,310.7901007121
61,"health",72.5493030932445,98.0777665513476
62,"daily_living",168.98544054279,211.824385971974
62,"developmental",33.9890427585235,317.838695766468
62,"health",74.1168693215154,95.7682350133776
63,"daily_living",175.123309605939,218.437504166249
63,"developmental",27.3141167237317,324.113925020926
