"year","age","population"
1990,0,3983791.65
1990,1,3800226.38
1990,2,3676184.06
1990,3,3738188.48
1990,4,3733372.98
1990,5,3693268.43
1990,6,3645534.69
1990,7,3734487.8
1990,8,3584276.23
1990,9,3641985.17
1990,10,3741257.82
1990,11,3400278.69
1990,12,3359951.92
1990,13,3415095.89
1990,14,3250974.96
1990,15,3313410.91
1990,16,3293759.65
1990,17,3336869.2
1990,18,3556770.84
1990,19,3765686.76
1990,20,3532478.5
1990,21,3517201.22
1990,22,3586672.64
1990,23,3608366.16
1990,24,3743752.41
1990,25,4106179.37
1990,26,4139426.19
1990,27,4209850.25
1990,28,4318862.55
1990,29,4425529.3
1990,30,4507965.6
1990,31,4401893.69
1990,32,4466888.57
1990,33,4392523.75
1990,34,4271161.24
1990,35,4344361.59
1990,36,4104827.29
1990,37,3986059.33
1990,38,3746926.32
1990,39,3709270.62
1990,40,3740986.17
1990,41,3569847.09
1990,42,3698453.71
1990,43,3441951.52
1990,44,2852526.07
1990,45,3002627.23
1990,46,2861013.87
1990,47,2885294.09
1990,48,2597511.85
1990,49,2513143.97
1990,50,2466311.17
1990,51,2373700
1990,52,2212892.93
1990,53,2135272.64
1990,54,2256211.79
1990,55,2159361.84
1990,56,2052827.01
1990,57,2200136.13
1990,58,2010403.3
1990,59,2126216.72
1990,60,2209841.04
1990,61,2131894.02
1990,62,2193697.01
1990,63,2080328.9
1990,64,2067108.19
1990,65,2248409.55
1990,66,2067683.42
1990,67,1911213.7
1990,68,1987735.89
1990,69,1911446.99
1990,70,1864583.12
1990,71,1659843.03
1990,72,1536494.89
1990,73,1444528.32
1990,74,1347217.21
1990,75,1292065.98
1990,76,1296279.36
1990,77,1109899.59
1990,78,1019411.07
1990,79,1073059.75
1990,80,953025.02
1990,81,763603.46
1990,82,679946.5
1990,83,630569.36
1990,84,536110.96
1990,85,468914.21
1991,0,4001909.07
1991,1,3978695.26
1991,2,3820367.57
1991,3,3738088.9
1991,4,3760057.15
1991,5,3741360.95
1991,6,3758753.09
1991,7,3675221.23
1991,8,3617722.82
1991,9,3672748.29
1991,10,3797644.83
1991,11,3550940.59
1991,12,3382049.87
1991,13,3511246.27
1991,14,3359587.27
1991,15,3303503.3
1991,16,3347298.48
1991,17,3273258.47
1991,18,3328519.5
1991,19,3586441.64
1991,20,3552147.25
1991,21,3603635.27
1991,22,3616728.16
1991,23,3585637.77
1991,24,3628254.09
1991,25,3829397.89
1991,26,4136132.78
1991,27,4181906.31
1991,28,4294300.2
1991,29,4325390.02
1991,30,4556157.99
1991,31,4443692.17
1991,32,4268499.69
1991,33,4463985.25
1991,34,4405433.74
1991,35,4340892.41
1991,36,4301047.84
1991,37,3982698.26
1991,38,4004126.35
1991,39,3750275.15
1991,40,3972008.3
1991,41,3656457.22
1991,42,3585125.47
1991,43,3656621.61
1991,44,3415858.66
1991,45,2939201.09
1991,46,2896248.53
1991,47,2902590.17
1991,48,2870432.38
1991,49,2520683.08
1991,50,2533304.32
1991,51,2237834.42
1991,52,2359156.63
1991,53,2165492.61
1991,54,2261338.62
1991,55,2218116.78
1991,56,2180968.7
1991,57,2017217.36
1991,58,2180465.72
1991,59,2094744.79
1991,60,2106792.06
1991,61,2291016.11
1991,62,2045751.63
1991,63,2180338.66
1991,64,2029614.23
1991,65,2217370.91
1991,66,2091768.68
1991,67,2036745.68
1991,68,1896847.92
1991,69,1880653.27
1991,70,1875062.97
1991,71,1699721.2
1991,72,1630455.85
1991,73,1475213.57
1991,74,1433979.1
1991,75,1361565.47
1991,76,1286787.41
1991,77,1155929.56
1991,78,1078037.98
1991,79,953164.64
1991,80,1001036.05
1991,81,830593.91
1991,82,689718.95
1991,83,612538.51
1991,84,494931.43
1991,85,469386.62
1992,0,4054474.78
1992,1,3904865.09
1992,2,3924783.23
1992,3,3874616.33
1992,4,3807011.26
1992,5,3758370.33
1992,6,3788364.18
1992,7,3765300.85
1992,8,3564629.33
1992,9,3727237.34
1992,10,3702478.17
1992,11,3772558.44
1992,12,3766843.8
1992,13,3338597.25
1992,14,3440924.11
1992,15,3381402.34
1992,16,3298922.68
1992,17,3301553.54
1992,18,3194375.24
1992,19,3392216.02
1992,20,3358909.8
1992,21,3600805.44
1992,22,3776046.53
1992,23,3595665.41
1992,24,3516236.36
1992,25,3618591.45
1992,26,4032110.1
1992,27,4024914.66
1992,28,4208774.8
1992,29,4247506.67
1992,30,4641990.21
1992,31,4474239.81
1992,32,4494669.49
1992,33,4383221.52
1992,34,4367020.41
1992,35,4518039.11
1992,36,4149016.72
1992,37,4258940.28
1992,38,3933617
1992,39,4093093.01
1992,40,3854441.45
1992,41,3757988.99
1992,42,3703508.29
1992,43,3616972.9
1992,44,3685345.19
1992,45,3448514.22
1992,46,2976168.28
1992,47,2814876.92
1992,48,2924970.13
1992,49,2792399.22
1992,50,2574256.75
1992,51,2425196.54
1992,52,2342642.76
1992,53,2492981
1992,54,2231386.88
1992,55,2132110.37
1992,56,2205378.5
1992,57,2218509.82
1992,58,1925526.64
1992,59,2138013.01
1992,60,2225684.36
1992,61,2010161.56
1992,62,2167961.16
1992,63,2049189.05
1992,64,2077197.7
1992,65,2119618.15
1992,66,2049666.15
1992,67,2083840.37
1992,68,1977481.73
1992,69,1858885.13
1992,70,2014338.06
1992,71,1747949.17
1992,72,1621376.77
1992,73,1649880.66
1992,74,1317764.8
1992,75,1324540.89
1992,76,1304581.71
1992,77,1202496.82
1992,78,1044034.19
1992,79,1013100.03
1992,80,980310.25
1992,81,863273.61
1992,82,717036.97
1992,83,666494.61
1992,84,543346.45
1992,85,476864.11
1993,0,4031230.09
1993,1,3987538.95
1993,2,3941151.69
1993,3,3972560.19
1993,4,3901215.66
1993,5,3802220.76
1993,6,3769568.88
1993,7,3807017.23
1993,8,3647070.82
1993,9,3700735.16
1993,10,3794972.55
1993,11,3792188.68
1993,12,3704764.43
1993,13,3632260.55
1993,14,3502422.78
1993,15,3461670.45
1993,16,3363064.08
1993,17,3294342.17
1993,18,3270468.28
1993,19,3237138.62
1993,20,3347022.06
1993,21,3338039.28
1993,22,3781523.09
1993,23,3533782.95
1993,24,3801420.34
1993,25,3700455.26
1993,26,3749149.41
1993,27,3892223.88
1993,28,3993775.24
1993,29,4267587.07
1993,30,4638810.98
1993,31,4177563.89
1993,32,4685183.13
1993,33,4392291.14
1993,34,4366660.72
1993,35,4418912.9
1993,36,4403453.78
1993,37,4317912.86
1993,38,4390792.58
1993,39,3936292.7
1993,40,4249943.34
1993,41,3710191.78
1993,42,3763533.31
1993,43,3645170.11
1993,44,3506119.92
1993,45,3734771.32
1993,46,3530725.12
1993,47,2914230.49
1993,48,2674245.12
1993,49,2933006.8
1993,50,3108989.91
1993,51,2497237.3
1993,52,2514632.61
1993,53,2249942.61
1993,54,2344725.19
1993,55,2329381.31
1993,56,2122114.7
1993,57,2185443.36
1993,58,2171510.3
1993,59,1909877.86
1993,60,2168705.3
1993,61,2117423.87
1993,62,2070172.05
1993,63,2030123.38
1993,64,2142520.6
1993,65,2074540.07
1993,66,1959452.13
1993,67,2007994.26
1993,68,1943884.73
1993,69,1846317.59
1993,70,1909041.09
1993,71,1880511.4
1993,72,1707050.78
1993,73,1568333.82
1993,74,1465227.19
1993,75,1433871.78
1993,76,1227266.46
1993,77,1181561.35
1993,78,1145752.26
1993,79,980028.29
1993,80,943893.15
1993,81,861337.59
1993,82,847832.63
1993,83,730744.53
1993,84,565274.31
1993,85,497166.89
1994,0,3979036.3
1994,1,4146735.58
1994,2,4079663.03
1994,3,4156643.33
1994,4,4095929.86
1994,5,3990391.84
1994,6,3894083.11
1994,7,3884210
1994,8,3689435.15
1994,9,3910025.44
1994,10,3975261.56
1994,11,3814551.11
1994,12,3745529.96
1994,13,3856272.65
1994,14,3764957.73
1994,15,3603838.29
1994,16,3580070.73
1994,17,3599640.24
1994,18,3415377.51
1994,19,3500484.41
1994,20,3468331.11
1994,21,3453493.7
1994,22,3688124.67
1994,23,4085719.82
1994,24,3863134.55
1994,25,3884835.94
1994,26,3676312.1
1994,27,3892458.97
1994,28,4126509.33
1994,29,4045595.97
1994,30,4402029.15
1994,31,4425832.34
1994,32,4400214.61
1994,33,4566955.1
1994,34,4524902.87
1994,35,4524961.75
1994,36,4538097.03
1994,37,4447168.97
1994,38,4345474.96
1994,39,4114695.97
1994,40,4038827.86
1994,41,4105559.31
1994,42,3931571.53
1994,43,3810258.87
1994,44,3670926.91
1994,45,3665393.4
1994,46,3735773.29
1994,47,3517172.26
1994,48,2850259
1994,49,2793250.99
1994,50,2903297.41
1994,51,2936483.69
1994,52,2453422.33
1994,53,2434491.54
1994,54,2232175.74
1994,55,2288157.31
1994,56,2204931.98
1994,57,2004854.2
1994,58,2182321.69
1994,59,2051980.04
1994,60,1960070.88
1994,61,2038464.59
1994,62,1943051.9
1994,63,1996374.39
1994,64,2067254.42
1994,65,2055950.17
1994,66,1900334
1994,67,1962942.21
1994,68,1886991.51
1994,69,1790691.97
1994,70,1828031.51
1994,71,1811949.59
1994,72,1725439.4
1994,73,1651610.14
1994,74,1472963.85
1994,75,1348883.88
1994,76,1364967.44
1994,77,1152036.61
1994,78,1123628.26
1994,79,989363.06
1994,80,1002980.39
1994,81,798807.86
1994,82,730244.57
1994,83,740601.75
1994,84,605930.64
1994,85,485951.32
1995,0,3857024.6
1995,1,4026859.78
1995,2,4108373.68
1995,3,4103166.55
1995,4,4204802.53
1995,5,4156966.03
1995,6,3935247.28
1995,7,3980397.03
1995,8,3751839.27
1995,9,3939994.71
1995,10,3818126.49
1995,11,3922268.28
1995,12,3864325.3
1995,13,3843172.91
1995,14,3860183.96
1995,15,3778394.13
1995,16,3653417.41
1995,17,3704095.93
1995,18,3464162.89
1995,19,3551964.08
1995,20,3352752.43
1995,21,3389325.57
1995,22,3524870.67
1995,23,3708408.45
1995,24,4166200.46
1995,25,3923866.38
1995,26,3822809.8
1995,27,3697440.42
1995,28,3979032.03
1995,29,3977137.67
1995,30,4290922.05
1995,31,4417126.76
1995,32,4186919.33
1995,33,4402933.08
1995,34,4690015.98
1995,35,4687094.73
1995,36,4229380.99
1995,37,4535571.45
1995,38,4399545.52
1995,39,4389091.97
1995,40,4201863.07
1995,41,4107102.85
1995,42,4091733.01
1995,43,3854217.06
1995,44,3838848.69
1995,45,3619784.98
1995,46,3647331.36
1995,47,3767318.8
1995,48,3551591.85
1995,49,2731241.22
1995,50,2800892.43
1995,51,2782316.61
1995,52,2857751.54
1995,53,2528518.68
1995,54,2406478.99
1995,55,2393740.77
1995,56,2350823.18
1995,57,2128300.1
1995,58,1959767.03
1995,59,2011242.97
1995,60,1994290.04
1995,61,1871050.95
1995,62,2008969.92
1995,63,1988798.74
1995,64,2048380.67
1995,65,2119451.38
1995,66,1944289.66
1995,67,1893094.22
1995,68,1833849.8
1995,69,1867038.01
1995,70,1766401.06
1995,71,1805792.62
1995,72,1689607.89
1995,73,1724714.15
1995,74,1569963.2
1995,75,1429816.61
1995,76,1305187.46
1995,77,1274952.33
1995,78,1069029.5
1995,79,1043050.21
1995,80,977839.19
1995,81,971670.53
1995,82,813417.13
1995,83,651559.56
1995,84,651390.73
1995,85,568021.27
1996,0,3908613.74
1996,1,4023244.15
1996,2,4004819.22
1996,3,4017455.78
1996,4,4114920.36
1996,5,4296796.05
1996,6,4125325.55
1996,7,3975565.75
1996,8,3817347.96
1996,9,3956081.25
1996,10,3909142.41
1996,11,3941847.88
1996,12,3788755.34
1996,13,3952520.15
1996,14,3857178.03
1996,15,3902546.87
1996,16,3839507.47
1996,17,3716065.12
1996,18,3618390.72
1996,19,3572014.55
1996,20,3561527.93
1996,21,3358762.06
1996,22,3323659.34
1996,23,3650551.61
1996,24,3758411.29
1996,25,4286598.71
1996,26,3803641.19
1996,27,3794313.06
1996,28,3635776.42
1996,29,3941189.14
1996,30,4101015.98
1996,31,4249466.31
1996,32,4432290.65
1996,33,4192851.85
1996,34,4481455.23
1996,35,4741122.49
1996,36,4576115.64
1996,37,4230316.24
1996,38,4567039.66
1996,39,4364825.66
1996,40,4488118.99
1996,41,4246435.85
1996,42,4125191.7
1996,43,3873276.53
1996,44,3865212.13
1996,45,3777608.64
1996,46,3559047.65
1996,47,3559365.88
1996,48,3689318.08
1996,49,3635301
1996,50,2721052.26
1996,51,2573427.4
1996,52,2771448.46
1996,53,2837369.66
1996,54,2460169.6
1996,55,2597075.24
1996,56,2237106.95
1996,57,2220630.62
1996,58,2136989.03
1996,59,2108665.49
1996,60,2096019.8
1996,61,1962083.37
1996,62,1875602.06
1996,63,1899174.04
1996,64,1951017.06
1996,65,2041951.9
1996,66,1993129.18
1996,67,1922263.62
1996,68,1959121.16
1996,69,1829916.84
1996,70,1891982.35
1996,71,1760324.43
1996,72,1715051.36
1996,73,1582873.71
1996,74,1573575.59
1996,75,1648621.5
1996,76,1408878.75
1996,77,1187010.78
1996,78,1191091.92
1996,79,1049732.37
1996,80,991237.84
1996,81,939208.68
1996,82,862573.41
1996,83,731795.64
1996,84,558627.71
1996,85,515374.62
