"activity_id","provision_interval","population"
"archivists-curators-and-museum-technicians",22968954.6,75666.14
"bartenders",117650201.4,408260.33
"childcare-workers",241774944.942857,910877.64
"chiropractors",11507679.1714286,40279.63
"clergy",150484164.342857,483607.13
"clinical-laboratory-technologists-and-technicians",100830750,320562.58
"concierge-services",31537182.8571429,123860.37
"cooks-chefs",708924294.857143,2397826.23
"counselors",327060779.657143,1013341.29
"dental-assistants",78925166.6571429,277407.25
"dental-hygienists",63682517.5714286,223793.75
"dentists",40947243.3428571,131189.74
"diagnostic-related-technologists-and-technicians",158533426.8,507079.83
"dieticians-and-nutritionists",35520156.0857143,116435.2
"dishwashers",75066080.2285714,269055.7
"education-administrators",365186243.571429,1018372.53
"elementary-and-middle-school-teachers",1231391810.14286,3739088.21
"emergency-medical-technicians-and-paramedics",95139762.2571429,273583.69
"food-managers",438997958.657143,1262081.26
"food-preparation-workers",627995979.257143,2394829.11
"hairdressers-hairstylists-and-cosmetologists",340517117.485714,1237949.65
"health-diagnosing-and-treating-practitioner-support-technicians",254425208.314286,827325.26
"health-diagnosing-and-treating-practitioners-nec",8483065.28571429,37430.46
"health-technologists-and-technicians-nec",54086857.2857143,158546.95
"healthcare-practitioners-and-technical-occupations-nec",70310263.8,217832.19
"housekeeping-janitors-and-groundskeepers",1632449104.02857,5664932.28
"librarians",128651090.057143,444289.72
"licensed-practical-and-licensed-vocational-nurses",171734808.085714,546370.33
"massage-therapists",36232713.7714286,156544.7
"medical-and-health-services-managers",289895301.171429,841659.47
"medical-records-and-health-information-technicians",70544377.4571429,210445.21
"medical-specialists-therapists",388996166.571429,1281515.49
"nursing-psychiatric-and-home-health-aides",935748541.371429,3142637.97
"occupational-therapy-assistants-and-aides",4563324.68571429,15696.69
"opticians-dispensing",12486706.5428571,40159.43
"optometrists",9319059.42857143,36714.07
"other-teachers-and-instructors",312354904.371429,1210546.63
"personal-care-aides",513701306.485714,1781410.79
"pharmacists",117317169.942857,381353.83
"physical-therapist-assistants-and-aides",17907619.2,66353.43
"physician-assistants",46015749.3428571,143592.85
"physicians-and-surgeons",363081503.914286,935489.53
"postsecondary-teachers",335406948.171429,1055354.67
"preschool-and-kindergarten-teachers",203832012.942857,660051.09
"registered-nurses",1212430354.8,3867118.58
"secondary-school-teachers",283502105.228571,853659
"social-and-community-service-managers",171527616.428571,512019.42
"social-workers",402001990.628571,1241476.37
"special-education-teachers",123123270.428571,364507.22
"teacher-assistants",417807142.628571,1500625.74
"veterinarians",28934055,87278.86
"waiters-and-waitresses",492828653.057143,2093037.37
