"id","name","care_focus","median_wage"
"archivists-curators-and-museum-technicians","Archivists, Curators, and Museum Technicians","developmental",44000
"bartenders","Bartenders","daily_living",35000
"childcare-workers","Childcare Workers","developmental",25000
"chiropractors","Chiropractors","health",85000
"clergy","Clergy","health",47000
"clinical-laboratory-technologists-and-technicians","Clinical Laboratory Technologists and Technicians","health",54000
"cooks-chefs","Cooks/Chefs","daily_living",28000
"counselors","Counselors","health",58000
"dental-assistants","Dental Assistants","health",39500
"dental-hygienists","Dental Hygienists","health",60000
"dentists","Dentists","health",150000
"diagnostic-related-technologists-and-technicians","Diagnostic Related Technologists and Technicians","health",72000
"dieticians-and-nutritionists","Dieticians and Nutritionists","health",55000
"dishwashers","Dishwashers","daily_living",25000
"education-administrators","Education Administrators","developmental",80000
"elementary-and-middle-school-teachers","Elementary and Middle School Teachers","developmental",58000
"emergency-medical-technicians-and-paramedics","Emergency Medical Technicians and Paramedics","health",63000
"food-managers","Food Managers","daily_living",48000
"food-preparation-workers","Food Preparation Workers","daily_living",24700
"funeral-service-workers-and-embalmers","Funeral Service Workers and Embalmers","health",46000
"hairdressers-hairstylists-and-cosmetologists","Hairdressers, Hairstylists, and Cosmetologists","daily_living",30000
"health-diagnosing-and-treating-practitioner-support-technicians","Health Diagnosing and Treating Practitioner Support Technicians","health",38000
"health-diagnosing-and-treating-practitioners-nec","Health Diagnosing and Treating Practitioners, nec","health",40000
"health-technologists-and-technicians-nec","Health Technologists and Technicians, nec","health",52000
"healthcare-practitioners-and-technical-occupations-nec","Healthcare Practitioners and Technical Occupations, nec","health",71000
"housekeeping-janatoros-and-groundskeepers","Housekeeping, Janatoros, and Groundskeepers","daily_living",31000
"librarians","Librarians","developmental",50000
"licensed-practical-and-licensed-vocational-nurses","Licensed Practical and Licensed Vocational Nurses","health",48000
"massage-therapists","Massage Therapists","health",36000
"medical-and-health-services-managers","Medical and Health Services Managers","health",79000
"medical-records-and-health-information-technicians","Medical Records and Health Information Technicians","health",46000
"medical-specialists-therapists","Medical Specialists/Therapists","health",65000
"nursing-psychiatric-and-home-health-aides","Nursing, Psychiatric, and Home Health Aides","health",32240
"occupational-therapy-assistants-and-aides","Occupational Therapy Assistants and Aides","health",52000
"opticians-dispensing","Opticians, Dispensing","health",40000
"optometrists","Optometrists","health",120000
"other-teachers-and-instructors","Other Teachers and Instructors","developmental",40450
"personal-care-aides","Personal Care Aides","health",28210
"pharmacists","Pharmacists","health",120000
"physical-therapist-assistants-and-aides","Physical Therapist Assistants and Aides","health",50000
"physician-assistants","Physician Assistants","health",110000
"physicians-and-surgeons","Physicians and Surgeons","health",230000
"postsecondary-teachers","Postsecondary Teachers","developmental",85000
"preschool-and-kindergarten-teachers","Preschool and Kindergarten Teachers","developmental",32000
"registered-nurses","Registered Nurses","health",80000
"secondary-school-teachers","Secondary School Teachers","developmental",65000
"social-and-community-service-managers","Social and Community Service Managers","health",70000
"social-workers","Social Workers","health",54400
"special-education-teachers","Special Education Teachers","developmental",55000
"teacher-assistants","Teacher Assistants","developmental",26000
"veterinarians","Veterinarians","health",110000
"waiters-and-waitresses","Waiters and Waitresses","daily_living",23000
