"activity_id","provision_interval","population","geo"
"childcare-workers-state23","1856349.74057143","6267.76716","state23"
"childcare-workers-state33","1382233.61502857","6419.34058","state33"
"childcare-workers-state50","753152.868342857","2292.50382","state50"
"childcare-workers-state25","8618977.55194286","30758.62202","state25"
"childcare-workers-state44","896087.331428571","3418.9929","state44"
"childcare-workers-state09","3674712.31885714","14119.79764","state09"
"childcare-workers-state36","18697005.1973143","66923.88148","state36"
"childcare-workers-state34","7975242.28268571","30389.94148","state34"
"childcare-workers-state42","9996694.31211429","33198.63158","state42"
"childcare-workers-state39","9692363.14628571","36927.98666","state39"
"childcare-workers-state18","6114605.60708571","21011.66032","state18"
"childcare-workers-state17","12940658.0086286","41450.9574","state17"
"childcare-workers-state26","6778600.9884","27455.92538","state26"
"childcare-workers-state55","5817683.25342857","24574.4565","state55"
"childcare-workers-state27","7275525.79714286","29905.2349","state27"
"childcare-workers-state19","5504605.68411429","17018.4583","state19"
"childcare-workers-state29","3795863.57108571","14116.72738","state29"
"childcare-workers-state38","1226402.00571429","3918.14684","state38"
"childcare-workers-state46","1887623.1948","6243.19152","state46"
"childcare-workers-state31","2162858.97651429","6787.89128","state31"
"childcare-workers-state20","3359303.88137143","12346.18776","state20"
"childcare-workers-state10","1231496.94274286","3519.41078","state10"
"childcare-workers-state24","6512496.60428571","20706.69992","state24"
"childcare-workers-state11","518853.774857143","1597.20338","state11"
"childcare-workers-state51","9206895.86005714","34581.50022","state51"
"childcare-workers-state54","1518638.70977143","5094.27518","state54"
"childcare-workers-state37","6785624.07737143","25524.49008","state37"
"childcare-workers-state45","3414307.82297143","13773.47562","state45"
"childcare-workers-state13","6163337.14714286","24398.85846","state13"
"childcare-workers-state12","14205436.1374286","50106.78776","state12"
"childcare-workers-state21","2221717.55417143","8977.94102","state21"
"childcare-workers-state47","3526077.61251429","15355.42982","state47"
"childcare-workers-state01","3568383.05314286","13073.58314","state01"
"childcare-workers-state28","1335919.00628571","5208.53868","state28"
"childcare-workers-state05","2336029.47377143","8944.11158","state05"
"childcare-workers-state22","2829239.0424","12524.55226","state22"
"childcare-workers-state40","3102377.06537143","10255.16206","state40"
"childcare-workers-state48","18805857.5213143","67837.04174","state48"
"childcare-workers-state30","593666.485885714","2355.76436","state30"
"childcare-workers-state16","1584388.11857143","5633.39416","state16"
"childcare-workers-state56","611332.755428571","1939.73466","state56"
"childcare-workers-state08","5497358.35268571","18447.92666","state08"
"childcare-workers-state35","1689738.68314286","6047.70058","state35"
"childcare-workers-state04","2929426.57765714","11911.41072","state04"
"childcare-workers-state49","2314399.31725714","10263.80634","state49"
"childcare-workers-state32","1439159.20902857","6589.04216","state32"
"childcare-workers-state53","7567766.14817143","29596.4349","state53"
"childcare-workers-state41","3776310.186","12933.2408","state41"
"childcare-workers-state06","34362496.4607429","122132.18442","state06"
"childcare-workers-state02","667464.534514286","1931.47342","state02"
"childcare-workers-state15","662810.910342857","2948.38724","state15"
"cooks-chefs-state23","2525710.7688","9580.60418","state23"
"cooks-chefs-state33","3294160.10485714","10568.3504","state33"
"cooks-chefs-state50","1621031.90451429","5390.7506","state50"
"cooks-chefs-state25","12467229.5319429","45014.3017","state25"
"cooks-chefs-state44","1764790.54971429","6401.72672","state44"
"cooks-chefs-state09","7676513.5356","23846.74924","state09"
"cooks-chefs-state36","40814347.1142857","135887.83234","state36"
"cooks-chefs-state34","13481665.5966857","47666.08716","state34"
"cooks-chefs-state42","25801585.1897143","86440.51854","state42"
"cooks-chefs-state39","22557103.6114286","85850.0352","state39"
"cooks-chefs-state18","16220672.5268571","55772.59582","state18"
"cooks-chefs-state17","26291388.5756571","90380.48272","state17"
"cooks-chefs-state26","19982722.7569714","74412.55328","state26"
"cooks-chefs-state55","8945880.14331429","35687.98966","state55"
"cooks-chefs-state27","12201968.2734857","43273.04696","state27"
"cooks-chefs-state19","5613835.14531429","20774.6593","state19"
"cooks-chefs-state29","13574887.9386857","44950.36978","state29"
"cooks-chefs-state38","1771342.5348","6197.6568","state38"
"cooks-chefs-state46","1837790.04754286","6941.51744","state46"
"cooks-chefs-state31","4604626.99268571","15389.16024","state31"
"cooks-chefs-state20","7087046.28068571","24250.76172","state20"
"cooks-chefs-state10","2112561.78634286","8830.4447","state10"
"cooks-chefs-state24","16144853.2697143","51327.52542","state24"
"cooks-chefs-state11","1034997.46988571","3562.22972","state11"
"cooks-chefs-state51","18052733.8164","63385.9987","state51"
"cooks-chefs-state54","4811584.71514286","17228.50306","state54"
"cooks-chefs-state37","24731963.8112571","90933.79426","state37"
"cooks-chefs-state45","9461646.19628571","31382.65436","state45"
"cooks-chefs-state13","25000821.7666286","90969.23704","state13"
"cooks-chefs-state12","58182753.9495429","178856.13992","state12"
"cooks-chefs-state21","10433671.0016571","34014.67244","state21"
"cooks-chefs-state47","19058828.6475429","62176.85438","state47"
"cooks-chefs-state01","10867518.4494857","36806.60652","state01"
"cooks-chefs-state28","7812291.23537143","25585.02906","state28"
"cooks-chefs-state05","7839170.12931429","27525.52","state05"
"cooks-chefs-state22","10738989.9205714","39372.81276","state22"
"cooks-chefs-state40","10913275.0717714","34913.34048","state40"
"cooks-chefs-state48","73399678.8262286","233576.53724","state48"
"cooks-chefs-state30","2803040.94411429","10265.95128","state30"
"cooks-chefs-state16","3214750.0272","12671.18256","state16"
"cooks-chefs-state56","1232294.72811429","4358.84776","state56"
"cooks-chefs-state08","12553931.3799429","43610.93576","state08"
"cooks-chefs-state35","4082971.89257143","13665.17784","state35"
"cooks-chefs-state04","19087865.0331429","59151.26234","state04"
"cooks-chefs-state49","4174226.36742857","15244.76934","state49"
"cooks-chefs-state32","10195362.2857714","31662.52908","state32"
"cooks-chefs-state53","18279007.2462857","61890.86992","state53"
"cooks-chefs-state41","10200305.8428","37664.19836","state41"
"cooks-chefs-state06","100170226.225714","328720.19696","state06"
"cooks-chefs-state02","1898760.1644","5777.62432","state02"
"cooks-chefs-state15","4348331.79891429","14212.70006","state15"
"counselors-state23","1632020.97428571","4953.9387","state23"
"counselors-state33","2136804.5304","6774.55806","state33"
"counselors-state50","1484744.59937143","4952.02346","state50"
"counselors-state25","9917563.44068571","34564.95912","state25"
"counselors-state44","1697461.71188571","6083.54888","state44"
"counselors-state09","6110620.88331429","20780.7261","state09"
"counselors-state36","23908361.1879429","81270.27032","state36"
"counselors-state34","10780119.9258857","33273.03022","state34"
"counselors-state42","27673784.9701714","82714.3783","state42"
"counselors-state39","18241471.6894286","57285.22174","state39"
"counselors-state18","10420405.7852571","28904.97068","state18"
"counselors-state17","19430769.8679429","61341.43606","state17"
"counselors-state26","12446300.3833714","38514.7653","state26"
"counselors-state55","10515222.6456","30449.4524","state55"
"counselors-state27","15272103.8442857","51099.93378","state27"
"counselors-state19","5193821.86782857","14682.48364","state19"
"counselors-state29","6700501.73657143","21404.78908","state29"
"counselors-state38","1037697.71965714","3418.36792","state38"
"counselors-state46","2084184.48737143","6302.72952","state46"
"counselors-state31","3515853.2148","10724.71666","state31"
"counselors-state20","4604896.84937143","15856.54098","state20"
"counselors-state10","1059802.8312","4667.27256","state10"
"counselors-state24","7885019.45245714","25188.77664","state24"
"counselors-state11","794401.912457143","2443.92174","state11"
"counselors-state51","13661014.1278286","46327.44318","state51"
"counselors-state54","2383808.37994286","7462.64566","state54"
"counselors-state37","15284763.0085714","51282.07156","state37"
"counselors-state45","6176112.43062857","20010.69716","state45"
"counselors-state13","12049761.7230857","38792.22054","state13"
"counselors-state12","26730878.736","84586.66384","state12"
"counselors-state21","7121809.25142857","21627.12528","state21"
"counselors-state47","9986144.316","33425.161","state47"
"counselors-state01","7369929.21411429","23939.71044","state01"
"counselors-state28","4156419.48685714","13667.84302","state28"
"counselors-state05","4300221.49354286","14583.51458","state05"
"counselors-state22","6171525.02331429","21234.39332","state22"
"counselors-state40","6807582.35914286","21258.3935","state40"
"counselors-state48","47202264.9054857","147309.82574","state48"
"counselors-state30","1959770.50062857","6705.67946","state30"
"counselors-state16","2054884.05017143","6592.88116","state16"
"counselors-state56","998232.222514286","3331.21408","state56"
"counselors-state08","11523326.0069143","35460.31624","state08"
"counselors-state35","3207878.6652","8652.35194","state35"
"counselors-state04","10265958.7693714","29051.43146","state04"
"counselors-state49","4665833.88068571","15486.1538","state49"
"counselors-state32","1854639.76148571","6361.38876","state32"
"counselors-state53","13494339.0994286","43658.7862","state53"
"counselors-state41","6872957.07085714","22681.0962","state41"
"counselors-state06","46919240.946","153201.15242","state06"
"counselors-state02","1074136.16297143","3897.49628","state02"
"counselors-state15","1880161.122","5655.4644","state15"
"dentists-state23","1537499.75914286","5411.39048","state23"
"dentists-state33","1301022.56297143","5179.51384","state33"
"dentists-state50","319797.672","1191.75636","state50"
"dentists-state25","4143113.8704","14505.4613","state25"
"dentists-state44","908944.753028571","3272.8861","state44"
"dentists-state09","3219622.1436","10154.95554","state09"
"dentists-state36","12305261.1114857","43748.42036","state36"
"dentists-state34","6125457.95897143","20769.64562","state34"
"dentists-state42","5573217.26948571","17516.45824","state42"
"dentists-state39","5766753.156","21314.23802","state39"
"dentists-state18","3354769.23171429","11100.28722","state18"
"dentists-state17","8825880.95571429","29749.70258","state17"
"dentists-state26","7999808.07891429","26366.43878","state26"
"dentists-state55","6055535.58685714","20105.85524","state55"
"dentists-state27","3112459.2","10753.4668","state27"
"dentists-state19","1812995.27845714","4996.29814","state19"
"dentists-state29","2908863.97714286","8879.05162","state29"
"dentists-state38","730191.044914286","2500.72376","state38"
"dentists-state46","818068.6464","2746.07532","state46"
"dentists-state31","884812.102285714","3348.29914","state31"
"dentists-state20","2207604.52062857","7655.30174","state20"
"dentists-state10","512324.492057143","2169.00562","state10"
"dentists-state24","2349655.128","7818.90654","state24"
"dentists-state51","3489253.02582857","14508.38096","state51"
"dentists-state54","1227346.86342857","3828.81334","state54"
"dentists-state37","3475284.97851429","14002.99224","state37"
"dentists-state45","4408692.14314286","14210.21768","state45"
"dentists-state13","3575344.05994286","11165.08276","state13"
"dentists-state12","16085556.4693714","50114.12538","state12"
"dentists-state47","3003065.75657143","9669.2098","state47"
"dentists-state01","1895677.51594286","5985.38168","state01"
"dentists-state28","1208979.31354286","4445.56592","state28"
"dentists-state05","1714295.92731429","6193.34542","state05"
"dentists-state22","1799184.18994286","6703.50496","state22"
"dentists-state40","2336927.98628571","7084.71286","state40"
"dentists-state48","18348791.1726857","58715.39936","state48"
"dentists-state30","696724.415485714","2477.8837","state30"
"dentists-state16","1281577.62171429","4651.93732","state16"
"dentists-state56","442009.357714286","1555.57506","state56"
"dentists-state08","3399899.72417143","12137.92676","state08"
"dentists-state35","1045037.86971429","3185.38812","state35"
"dentists-state04","3531917.60297143","11560.97652","state04"
"dentists-state49","2451346.3356","9896.52738","state49"
"dentists-state32","1906938.14245714","5774.83798","state32"
"dentists-state53","5604010.35205714","21231.43496","state53"
"dentists-state41","3216815.61","10901.78782","state41"
"dentists-state06","27717874.1568","94155.76496","state06"
"dentists-state02","659126.570057143","2128.2504","state02"
"dentists-state15","739982.558571429","2584.2872","state15"
"education-administrators-state23","1665038.67085714","5337.83276","state23"
"education-administrators-state33","2175791.658","5797.50496","state33"
"education-administrators-state50","1242938.79582857","3673.4795","state50"
"education-administrators-state25","13097418.3966857","36429.2534","state25"
"education-administrators-state44","1424271.43645714","4516.16166","state44"
"education-administrators-state09","5570335.53","14976.79142","state09"
"education-administrators-state36","17379378.7277143","49080.17028","state36"
"education-administrators-state34","9076251.54085714","24969.2743","state34"
"education-administrators-state42","16673341.2351429","47908.0867","state42"
"education-administrators-state39","13061488.2992571","39188.84912","state39"
"education-administrators-state18","8964754.1508","25050.75566","state18"
"education-administrators-state17","14273872.9050857","40011.55914","state17"
"education-administrators-state26","7047349.49091429","20616.09684","state26"
"education-administrators-state55","4866308.58085714","15001.13322","state55"
"education-administrators-state27","7283671.75371429","21805.11634","state27"
"education-administrators-state19","2662345.79588571","6267.29394","state19"
"education-administrators-state29","4252352.23457143","12420.00144","state29"
"education-administrators-state38","864882.759428571","2260.87478","state38"
"education-administrators-state46","704222.804571429","1910.67154","state46"
"education-administrators-state31","1833609.14297143","5524.10962","state31"
"education-administrators-state20","2751282.06857143","8138.69056","state20"
"education-administrators-state10","910630.846285714","2261.77068","state10"
"education-administrators-state24","5442761.56371429","15551.3547","state24"
"education-administrators-state11","1267200.33771429","3592.0037","state11"
"education-administrators-state51","10556785.7535429","29700.05696","state51"
"education-administrators-state54","1378162.674","3617.18964","state54"
"education-administrators-state37","14029131.6173143","40298.42678","state37"
"education-administrators-state45","3407740.61314286","9931.23428","state45"
"education-administrators-state13","11323005.1234286","33491.17036","state13"
"education-administrators-state12","16488192.2616","49167.34204","state12"
"education-administrators-state21","4384514.45657143","11822.0539","state21"
"education-administrators-state47","5778739.95445714","16836.28462","state47"
"education-administrators-state01","5409798.5004","15783.88792","state01"
"education-administrators-state28","2821005.68588571","8095.69378","state28"
"education-administrators-state05","2406131.34","6832.21818","state05"
"education-administrators-state22","4358968.84748571","12912.22674","state22"
"education-administrators-state40","3768198.61371429","10658.98326","state40"
"education-administrators-state48","34753188.2934857","96390.96956","state48"
"education-administrators-state30","763648.578342857","2598.60446","state30"
"education-administrators-state16","2890863.77177143","7723.11456","state16"
"education-administrators-state56","793554.175371429","2365.46034","state56"
"education-administrators-state08","7152392.80028571","18842.74748","state08"
"education-administrators-state35","1910805.08674286","5574.46112","state35"
"education-administrators-state04","10136349.6176571","25118.7711","state04"
"education-administrators-state49","4715470.4304","13633.98218","state49"
"education-administrators-state32","2175489.10542857","5822.61868","state32"
"education-administrators-state53","8500135.86822857","22551.22868","state53"
"education-administrators-state41","4357766.67771429","12883.05842","state41"
"education-administrators-state06","37181005.7962286","106650.88884","state06"
"education-administrators-state02","817538.844685714","2187.2495","state02"
"education-administrators-state15","1484388.58217143","4272.62612","state15"
"elementary-and-middle-school-teachers-state23","4826794.7592","15413.14646","state23"
"elementary-and-middle-school-teachers-state33","4803722.33914286","14369.7284","state33"
"elementary-and-middle-school-teachers-state50","2810922.13268571","8322.47396","state50"
"elementary-and-middle-school-teachers-state25","29272475.3197714","89563.59184","state25"
"elementary-and-middle-school-teachers-state44","3875223.99651429","13346.31822","state44"
"elementary-and-middle-school-teachers-state09","11249040.0473143","37270.24424","state09"
"elementary-and-middle-school-teachers-state36","82508926.7022857","254261.59932","state36"
"elementary-and-middle-school-teachers-state34","37734103.8598286","115440.74452","state34"
"elementary-and-middle-school-teachers-state42","38438961.9315429","117071.83434","state42"
"elementary-and-middle-school-teachers-state39","37288136.8709143","118511.71808","state39"
"elementary-and-middle-school-teachers-state18","24703302.3183429","73137.48394","state18"
"elementary-and-middle-school-teachers-state17","44350038.9687429","133484.36094","state17"
"elementary-and-middle-school-teachers-state26","27075123.0288","84341.4499","state26"
"elementary-and-middle-school-teachers-state55","17891286.5177143","55416.16006","state55"
"elementary-and-middle-school-teachers-state27","19133910.4062857","56321.50564","state27"
"elementary-and-middle-school-teachers-state19","13517842.4067429","37483.99294","state19"
"elementary-and-middle-school-teachers-state29","21401793.1532571","67262.40378","state29"
"elementary-and-middle-school-teachers-state38","3024181.25605714","9253.98456","state38"
"elementary-and-middle-school-teachers-state46","2715566.54434286","8307.22546","state46"
"elementary-and-middle-school-teachers-state31","6476448.918","19406.12038","state31"
"elementary-and-middle-school-teachers-state20","12063036.1047429","34887.66478","state20"
"elementary-and-middle-school-teachers-state10","3126079.86565714","10511.07072","state10"
"elementary-and-middle-school-teachers-state24","26563338.2590286","84954.33456","state24"
"elementary-and-middle-school-teachers-state11","1698910.39748571","5150.94172","state11"
"elementary-and-middle-school-teachers-state51","32035838.8608","102027.43028","state51"
"elementary-and-middle-school-teachers-state54","4861203.61954286","16436.34516","state54"
"elementary-and-middle-school-teachers-state37","39883322.7553714","119463.01554","state37"
"elementary-and-middle-school-teachers-state45","21961380.936","64715.6349","state45"
"elementary-and-middle-school-teachers-state13","47452750.7329714","138610.47712","state13"
"elementary-and-middle-school-teachers-state12","64793276.6125714","195210.80086","state12"
"elementary-and-middle-school-teachers-state21","17808347.6907429","53777.66268","state21"
"elementary-and-middle-school-teachers-state47","25265422.0712571","78772.04436","state47"
"elementary-and-middle-school-teachers-state01","18018024.9183429","52105.9201","state01"
