"activity_id","geo_level","provider_attention","provision_interval","population"
"animal-care","state25","active",21783706.8624636,728190.192033997
"animal-care","state48","active",101917477.56465,3448165.20084894
"animal-care","state34","active",21679810.3954688,661310.231223707
"animal-care","state04","active",26822741.2907288,856376.052183143
"animal-care","state53","active",34487458.7828497,1247621.2200419
"animal-care","state47","active",25826590.453032,822884.041527587
"animal-care","state06","active",99341594.1057181,3258332.48224596
"animal-care","state26","active",32918387.8480957,1095514.19620713
"animal-care","state05","active",10482676.4497532,347024.568907552
"animal-care","state40","active",16418316.8350856,563903.448316045
"animal-care","state36","active",41617874.0058037,1380386.10793707
"animal-care","state49","active",7511364.96858194,356090.486061765
"animal-care","state55","active",38924365.8466351,822120.32443857
"animal-care","state31","active",9104178.09445214,240562.561065163
"animal-care","state29","active",27961852.4733293,818036.048262559
"animal-care","state42","active",66083248.1831716,1971354.24859987
"animal-care","state39","active",58606985.6478016,2132854.10617717
"animal-care","state18","active",24535712.875528,803569.52292689
"animal-care","state27","active",23593919.606238,969217.667564179
"animal-care","state28","active",12344835.2299849,352549.492715902
"animal-care","state35","active",9003383.79553895,372456.267633559
"animal-care","state21","active",19448417.0494324,675194.458889474
"animal-care","state44","active",2957133.7227979,98957.083264457
"animal-care","state19","active",18755680.7104774,560092.426261981
"animal-care","state51","active",55129300.448846,1229689.74429335
"animal-care","state12","active",69278000.5987121,2167309.61851453
"animal-care","state38","active",4537921.28734142,89545.008811034
"animal-care","state45","active",21381905.7924172,684310.529155626
"animal-care","state46","active",3692187.51343927,143510.070246279
"animal-care","state41","active",21369764.5646752,724977.344402083
"animal-care","state32","active",8062825.22760282,333004.258467292
"animal-care","state23","active",3797143.88427168,212432.696680691
"animal-care","state01","active",21425991.5155495,674676.151276188
"animal-care","state30","active",3850591.67135154,121564.115733495
"animal-care","state17","active",38419844.8246086,1570293.13973134
"animal-care","state13","active",29071908.2295466,1138032.07565167
"animal-care","state37","active",34820816.9670155,1065578.6354073
"animal-care","state20","active",15831073.9635735,450927.063858717
"animal-care","state16","active",9644015.78069426,229484.768197098
"animal-care","state22","active",10337979.3978732,384948.273617498
"animal-care","state24","active",22545215.3977274,655963.746304573
"animal-care","state50","active",2522035.56529926,112858.83931939
"animal-care","state08","active",21799884.1318554,657825.394277242
"animal-care","state11","active",700655.876531343,32468.1764780915
"animal-care","state54","active",20869432.3177555,313313.482019106
"animal-care","state56","active",5786508.39059967,65912.9924940608
"animal-care","state15","active",2208606.41940796,98761.0074907677
"animal-care","state09","active",13386978.5004691,407368.097149426
"animal-care","state02","active",1911368.44930324,72397.762739137
"animal-care","state33","active",6573592.13666343,167703.349258738
"animal-care","state10","active",2921840.34267334,93488.247385251
"appliance-tool-organization","state09","active",4560472.40247863,46291.9993554866
"appliance-tool-organization","state36","active",9028568.66019729,150776.437680955
"appliance-tool-organization","state48","active",14426420.4614039,244554.820080308
"appliance-tool-organization","state18","active",5302699.16121588,108248.909908618
"appliance-tool-organization","state06","active",27770311.219054,280093.608480066
"appliance-tool-organization","state27","active",1001706.8619396,41220.4785262488
"appliance-tool-organization","state19","active",1432046.1776633,45568.2673551326
"appliance-tool-organization","state21","active",3873938.12798027,67123.386353943
"appliance-tool-organization","state17","active",4997082.49689138,151360.572385667
"appliance-tool-organization","state05","active",2455819.01330199,38910.8523602378
"appliance-tool-organization","state53","active",5796565.94544152,82465.053076291
"appliance-tool-organization","state39","active",13120832.8708221,151719.849377848
"appliance-tool-organization","state30","active",395924.799303529,14911.3845665025
"appliance-tool-organization","state12","active",7932038.98698207,142269.555640442
"appliance-tool-organization","state51","active",3619920.25986467,52518.2115280729
"appliance-tool-organization","state13","active",2954261.79338848,107746.18910279
"appliance-tool-organization","state01","active",2167722.92307993,39932.7882458553
"appliance-tool-organization","state34","active",6812512.54721838,90714.8347049485
"appliance-tool-organization","state47","active",5940902.25780754,78305.1784866641
"appliance-tool-organization","state26","active",8041972.97173584,107762.438336412
"appliance-tool-organization","state24","active",5082871.9540591,92767.3741461616
"appliance-tool-organization","state29","active",5479684.77632691,62840.727025189
"appliance-tool-organization","state55","active",10353891.3876565,118940.410820252
"appliance-tool-organization","state42","active",15120301.2129011,158994.453820917
"appliance-tool-organization","state45","active",5889803.44508219,100624.934456558
"appliance-tool-organization","state22","active",3054590.64299005,56752.6749697315
"appliance-tool-organization","state25","active",3752357.55060979,98883.9322403633
"appliance-tool-organization","state37","active",11144224.2773015,127930.235933758
"appliance-tool-organization","state08","active",1685068.88467734,44616.3699055244
"appliance-tool-organization","state40","active",4324282.85035656,36059.1530552258
"appliance-tool-organization","state38","active",2058495.67052934,12169.0830784482
