"age","population"
0,3487958.83
1,3833595.01
2,3650791.18
3,3543599.1
4,3949154.77
5,3814156.96
6,3923362.4
7,4058345.78
8,4104759.74
9,4115785.13
10,3954196.1
11,4232470.05
12,4034343.5
13,4246678.75
14,4285190.99
15,4325019.1
16,4737219.23
17,4472718.14
18,4225752.16
19,4116958.99
20,3953145.96
21,4406009.73
22,4254595.59
23,4377589.21
24,4512879.11
25,4526730.74
26,4030129.42
27,4416042.79
28,4313570.27
29,4330385.06
30,4383875.26
31,4483441.91
32,4760661.08
33,4921624.79
34,4711353.38
35,4559951.23
36,4528245.75
37,4487869.53
38,4533950.68
39,4466546.2
40,4317073.61
41,4377396.92
42,4464580.69
43,4562064.81
44,4023955.89
45,4110340.03
46,4042333.63
47,4043370.34
48,3690595.97
49,3895050.76
50,3798256.65
51,3948423.64
52,4049037.3
53,4283077.9
54,4243176.78
55,4012216.53
56,3712199.78
57,4007764.75
58,4161727.93
59,4161709.9
60,4265103
61,4368069.81
62,4131194.12
63,4219594.67
64,4178891.06
65,4021422.7
66,3889163.26
67,3853072.38
68,3738904.49
69,3676891.86
70,3331069.98
71,3239973.16
72,3193441.76
73,2961065.28
74,2912684.09
75,2741536.84
76,2570503.02
77,2571636.46
78,1840380.9
79,1725688.62
80,7128550.62
85,5848639.59
