"age","care_focus","need_interval","provision_interval"
0,"developmental",402.877462758067,0
0,"daily_living",699.788184636096,0
0,"health",300,0
1,"developmental",414.390438191949,0
1,"daily_living",713.109229162289,0
1,"health",300,0
2,"developmental",425.447805523989,0
2,"daily_living",726.47486542402,0
2,"health",291.471014775917,0
3,"developmental",436.642813520344,0
3,"daily_living",740.413542122256,0
3,"health",272.045000673923,0
4,"developmental",447.157445782149,0
4,"daily_living",754.104835353857,0
4,"health",252.000385502728,0
5,"developmental",455.82616584133,0
5,"daily_living",766.46588954844,0
5,"health",232.25466303734,0
6,"developmental",466.032916509114,0
6,"daily_living",780.801040953183,0
6,"health",209.662710158679,0
7,"developmental",477.502816165603,0
7,"daily_living",796.837623917469,0
7,"health",184.492760578799,0
8,"developmental",480,0
8,"daily_living",808.127280024225,0
8,"health",162.782343319402,0
9,"developmental",480,0
9,"daily_living",812.245753488968,0
9,"health",148.652547906619,0
10,"developmental",476.295397112328,0
10,"daily_living",811.77062731608,0
10,"health",137.278912276415,0
11,"developmental",462.949761246636,0
11,"daily_living",812.002223408929,0
11,"health",127.123753003921,0
12,"developmental",444.227324259635,0
12,"daily_living",811.331976503098,0
12,"health",119.841305547178,0
13,"developmental",422.523991962954,0
13,"daily_living",800.450955613132,0
13,"health",112.838649867007,0
14,"developmental",399.84380351342,0
14,"daily_living",784.200925821234,0
14,"health",105.011777802269,0
15,"developmental",372.444837688231,0
15,"daily_living",760.175718166091,0
15,"health",97.9271240644421,0
16,"developmental",334.104059729573,0
16,"daily_living",708.19450059697,6.36416731438419
16,"health",92.9974329232658,2.30363413764842
17,"developmental",275.215515334219,30.1864443682251
17,"daily_living",603.844119581601,23.5577651831891
17,"health",93.5419824738679,12.8520159674013
18,"developmental",204.457218512161,79.3245873417906
18,"daily_living",468.860607075296,46.4487783140141
18,"health",97.4217852816143,26.3874299650694
19,"developmental",143.032086975408,138.36462709375
19,"daily_living",352.286909258697,66.684431870047
19,"health",97.8621873216031,46.2339382737901
20,"developmental",79.3601940314792,227.246030337209
20,"daily_living",234.106846020368,87.5480973835032
20,"health",91.9937857131609,76.2364985244949
21,"developmental",21.9825949427655,319.826867889976
21,"daily_living",127.391419023403,106.874741862273
21,"health",84.9678679271515,111.261132856313
22,"developmental",0,397.206099011793
22,"daily_living",83.0327918149228,116.152484120642
22,"health",76.056785789191,155.288804799877
23,"developmental",0,476.182348738232
23,"daily_living",83.0327918149228,120.637359163935
23,"health",64.689507210259,206.912163472671
24,"developmental",0,537.020248542487
24,"daily_living",83.0327918149228,124.455859655414
24,"health",56.3573378208045,247.904396160406
25,"developmental",0,568.788903941165
25,"daily_living",83.0327918149228,127.503176154193
25,"health",53.1348230392213,278.09171998333
26,"developmental",0,583.72727816624
26,"daily_living",83.0327918149228,128.895643905604
26,"health",52.4462663458422,304.236905258187
27,"developmental",0,596.854789263949
27,"daily_living",94.2497509813958,131.591472602234
27,"health",52.8076104640247,318.517969065429
28,"developmental",0,608.408016660334
28,"daily_living",97.0060891810792,136.650956426772
28,"health",54.6465117420815,309.852295944842
29,"developmental",0,613.552769255812
29,"daily_living",100.15811864654,142.391779511614
29,"health",58.0462892887684,285.835313064539
30,"developmental",0,619.702309308188
30,"daily_living",102.690945792773,147.658236473908
30,"health",61.0063799681069,266.662101447465
31,"developmental",0,632.306348651332
31,"daily_living",104.477517890023,152.696104406589
31,"health",63.0752213262164,252.265340136985
32,"developmental",0,642.666443882003
32,"daily_living",105.911002316078,157.356267030146
32,"health",65.2240511861449,239.758263356217
33,"developmental",0,645.943610923556
33,"daily_living",106.455745838723,160.971456850812
33,"health",67.6256576859156,239.741521620479
34,"developmental",0,645.864877630067
34,"daily_living",106.341159151223,164.017875026684
34,"health",70.2186764916092,245.837925627818
35,"developmental",0,641.470291299761
35,"daily_living",106.480274718119,166.462679094037
35,"health",72.7855161747256,248.54662944491
36,"developmental",0,630.088107091448
36,"daily_living",106.851949465005,168.153357855157
36,"health",76.312106113172,248.778720877147
37,"developmental",0,615.566642754149
37,"daily_living",107.380367693183,169.332186248736
37,"health",79.3728161018357,246.71666799107
38,"developmental",0,600.133604708136
38,"daily_living",108.61917628961,169.819132437236
38,"health",81.1440906776983,233.995565057868
39,"developmental",0,581.678038625693
39,"daily_living",110.203289873569,169.659065448018
39,"health",82.5178824112566,215.810528826517
40,"developmental",0,562.512094568364
40,"daily_living",111.585633571643,169.748673319316
40,"health",82.2325225497542,201.9078174721
41,"developmental",0,543.124824200196
41,"daily_living",112.670052288665,170.136557675247
41,"health",79.111674086954,191.42028922514
42,"developmental",0,522.704122015368
42,"daily_living",113.707189904928,170.536475436928
42,"health",74.8580449411354,183.164997319468
43,"developmental",0,499.745671230311
