"date","geo_level","sandwich_population","sandwich_population_proportion","sandwich_time_total","sandwich_time_median"
2015-01-01,"state01",58067.4997233019,0.0154407182380407,473198.526608394,504
2015-01-01,"state02",32774.6004980915,0.0908888966102293,162944.756068948,278
2015-01-01,"state04",122732.871857932,0.0264497038091702,1017662.36940225,463
2015-01-01,"state05",56720.0846054778,0.0243429000192658,490423.871008309,485
2015-01-01,"state06",696877.317353281,0.0256928319067543,6320061.01053247,525
2015-01-01,"state08",111354.955396905,0.0253386123309179,988532.257242207,638
2015-01-01,"state09",30974.941065811,0.0115499501886314,265339.532301683,530
2015-01-01,"state10",7480.83906675178,0.0104388718583883,122158.412422177,890
2015-01-01,"state11",15468.3542491085,0.0290830242964315,95983.7388653087,410
2015-01-01,"state12",300157.91165835,0.0209829940356866,2542555.43681621,469
2015-01-01,"state13",212300.522671484,0.0294991041314442,1661784.88640853,400
2015-01-01,"state15",9264.76554985425,0.0144630337398504,78213.1969124703,497
2015-01-01,"state16",22474.7269445951,0.016179960914047,286873.052620273,794
2015-01-01,"state17",328399.852905384,0.0315559460543716,2892227.78458877,503
2015-01-01,"state18",144890.240005554,0.0247533491519181,1328744.28968074,489
2015-01-01,"state19",59885.9249656619,0.0198895299400102,528753.435057454,538
2015-01-01,"state20",78251.6112295896,0.0313639195086077,597223.668279838,440
2015-01-01,"state21",133761.412799296,0.032916676795966,1076330.2583545,500
2015-01-01,"state22",90175.3616302373,0.0284217619984304,675706.152530695,436
2015-01-01,"state23",14853.569504377,0.0138867054915236,109329.990763733,447
2015-01-01,"state24",96415.5954677441,0.0189448759701196,936777.601327561,630
2015-01-01,"state25",119576.746308767,0.021929612512803,1023628.05962861,527
2015-01-01,"state26",270876.68716862,0.0308677263554955,2015763.77833691,409
2015-01-01,"state27",111546.09264777,0.021175865522851,1033398.00786285,439
2015-01-01,"state28",36901.1905267956,0.0169498638453591,319449.349482552,582
2015-01-01,"state29",122970.195826141,0.0242216565806214,954486.172047112,390
2015-01-01,"state30",16580.5063686707,0.018421806710671,100761.951512184,230
2015-01-01,"state31",31070.9856329375,0.0189511957744071,233030.056732966,389
2015-01-01,"state32",36447.8292984148,0.0156117897902871,406000.427169546,800
2015-01-01,"state33",22944.0387231304,0.0204091533362382,118503.941774242,277
2015-01-01,"state34",146928.784119598,0.0208397854916474,1488984.13224272,615
2015-01-01,"state35",40938.5023396975,0.0298519443321751,383011.211262942,425
2015-01-01,"state36",358274.44402003,0.025366010342503,2996507.57381751,520
2015-01-01,"state37",192879.783689777,0.0244148280135836,1720330.15015149,505
2015-01-01,"state38",23103.8801195885,0.0421639395418363,147696.241697417,260
2015-01-01,"state39",192995.998766504,0.0207757281546954,1719096.29485478,485
2015-01-01,"state40",108611.047823374,0.0377796244261004,1224541.03117817,630
2015-01-01,"state41",110692.935594326,0.0305084630081789,881248.465905382,374
2015-01-01,"state42",238178.496328173,0.0207453215528729,2168277.44402942,520
2015-01-01,"state44",30515.1289754438,0.0344765224296372,201394.338301225,302
2015-01-01,"state45",107371.389699058,0.0300787485356726,1030997.20904497,451
2015-01-01,"state46",43972.1690987584,0.0637948575567116,472946.219830287,801
2015-01-01,"state47",116104.385384452,0.0229827529046007,867880.825698598,500
2015-01-01,"state48",633299.461112611,0.031137778839673,5802085.53082854,534
2015-01-01,"state49",103085.69094858,0.0403170782537351,1023886.48572071,730
2015-01-01,"state50",18687.5998326679,0.040137323480264,167568.288483624,615
2015-01-01,"state51",120206.976725353,0.0172745054429559,973720.720331748,445
2015-01-01,"state53",134204.4119436,0.023956869985056,1470439.06036757,705
2015-01-01,"state54",33128.8619228449,0.0205162774601581,335779.99752391,547
2015-01-01,"state55",98968.8513435321,0.0185435351065869,894712.64547573,573
2015-01-01,"state56",18344.3354792904,0.0450277351694844,197739.95293435,512
2016-01-01,"state01",67167.8451952269,0.0172139676050922,503166.0515094,435
2016-01-01,"state02",28131.7401143211,0.0645633111909287,130635.331562203,200
2016-01-01,"state04",121396.467401961,0.0256302482375285,992580.12408246,463
2016-01-01,"state05",51814.569542103,0.022141873166832,532720.123500328,485
