"geo_level","category_id","subcategory_id","care_type","care_focus","provider_attention","provision_interval","population"
"national","gender","female","formal","daily_living","active",2521371099,132795238.19
"national","gender","female","formal","developmental","active",2700958006.37143,132795238.19
"national","gender","female","formal","health","active",4304954700.08571,132795238.19
"national","gender","female","formal","none","active",13332208852.6286,132795238.19
"national","gender","female","informal","daily_living","active",31435127242.8421,130933611.378314
"national","gender","female","informal","developmental","active",5394915021.08799,130933611.378314
"national","gender","female","informal","developmental","passive_child",11656250461.4038,130933611.378314
"national","gender","female","informal","health","active",2330837393.36322,130933611.378314
"national","gender","female","informal","health","passive_elder",1437396266.58932,130933611.378314
"national","gender","female","informal","none","active",124474717449.66,130933611.378314
"national","gender","male","formal","daily_living","active",2426759596.45714,126817902.13
"national","gender","male","formal","developmental","active",965041420.714286,126734568.39
"national","gender","male","formal","health","active",1394785343.82857,126817902.13
"national","gender","male","formal","none","active",22842989484.6857,126817902.13
"national","gender","male","informal","daily_living","active",21190625030.4399,123738959.810933
"national","gender","male","informal","developmental","active",2698714658.69642,123583599.741985
"national","gender","male","informal","developmental","passive_child",7353425867.24554,123676962.227391
"national","gender","male","informal","health","active",1244446528.72157,123738959.810933
"national","gender","male","informal","health","passive_elder",940111143.947959,123081685.663897
"national","gender","male","informal","none","active",121361414011.355,123738959.810933
"national","gender-parenthood","female-non-parent","formal","daily_living","active",1383903943.28571,81322128.39
"national","gender-parenthood","female-non-parent","formal","developmental","active",1305487345.28571,81322128.39
"national","gender-parenthood","female-non-parent","formal","health","active",2197185873.08571,81322128.39
"national","gender-parenthood","female-non-parent","formal","none","active",7529131924.28572,81322128.39
"national","gender-parenthood","female-non-parent","informal","daily_living","active",18791103869.0024,79176770.1634047
"national","gender-parenthood","female-non-parent","informal","developmental","active",962750949.87454,79176770.1634047
"national","gender-parenthood","female-non-parent","informal","developmental","passive_child",1178979071.83873,79176770.1634047
"national","gender-parenthood","female-non-parent","informal","health","active",1421918774.19793,79176770.1634047
"national","gender-parenthood","female-non-parent","informal","health","passive_elder",956510267.702058,79176770.1634047
"national","gender-parenthood","female-non-parent","informal","none","active",79219595791.7143,79176770.1634047
"national","gender-parenthood","female-parent","formal","daily_living","active",737445461.314286,34651174.27
"national","gender-parenthood","female-parent","formal","developmental","active",1055024148.17143,34651174.27
"national","gender-parenthood","female-parent","formal","health","active",1611585178.28571,34651174.27
