Code,Activity,developmental,health,daily_living,PaidWork,FormalWork,ChildCare,ElderCare,Householdcare,Selfcare,Leisure,Sleeping,Volunteering,Education
10101,Sleeping,,,,,,,,,,,1,,
10102,Sleeping,,,,,,,,,,,1,,
10199,Sleeping,,,,,,,,,,,1,,
10201,Self Grooming,,,1,,,,,,1,,,,
10299,Self Grooming,,,1,,,,,,1,,,,
10301,Self Healthcare,,,1,,,,,,1,,,,
10399,Self Healthcare,,,1,,,,,,1,,,,
10401,Personal/Private Activities,,,1,,,,,,1,,,,
10499,Personal/Private Activities,,,1,,,,,,1,,,,
10501,Self Healthcare,,,1,,,,,,1,,,,
10599,Self Healthcare,,,1,,,,,,1,,,,
19999,Self Healthcare,,,1,,,,,,1,,,,
20101,Home Cleaning,,,1,,,,,1,,,,,
20102,Laundry,,,1,,,,,1,,,,,
20103,Clothing Maitanence,,,1,,,,,1,,,,,
20104,Home Organization,,,1,,,,,1,,,,,
20199,General Housework,,,1,,,,,1,,,,,
20201,Food and drink preparation ,,,1,,,,,1,,,,,
20202,Food and drink preparation ,,,1,,,,,1,,,,,
20203,Kitchen and food clean-up,,,1,,,,,1,,,,,
20299,Food and drink preparation ,,,1,,,,,1,,,,,
20301,Home Organization,,,1,,,,,1,,,,,
20302,Home Items Repair,,,1,,,,,1,,,,,
20303,Home Items Repair,,,1,,,,,1,,,,,
20399,Home Items Repair,,,1,,,,,1,,,,,
20401,Exterior cleaning,,,1,,,,,1,,,,,
20402,Home Exterior Repair,,,1,,,,,1,,,,,
20499,Home Exterior Repair,,,1,,,,,1,,,,,
20501,Exterior cleaning,,,1,,,,,1,,,,,
20502,Lawn and Garden,,,1,,,,,1,,,,,
20599,Lawn and Garden,,,1,,,,,1,,,,,
20601,Animal Care,,,1,,,,,1,,,,,
20602,Animal Care,,,1,,,,,1,,1,,,
20699,Animal Care,,,1,,,,,1,,,,,
20701,Vehicle Repair,,,1,,,,,1,,,,,
20799,Vehicle Repair,,,1,,,,,1,,,,,
20801,Appliance/Tool Organization,,,1,,,,,1,,,,,
20899,Appliance/Tool Organization,,,1,,,,,1,,,,,
20901,Household Financial and Orgnaizational Mangement,,,1,,,,,1,,,,,
20902,Household Financial and Orgnaizational Mangement,,,1,,,,,1,,,,,
20903,Household Financial and Orgnaizational Mangement,,,1,,,,,1,,,,,
20904,Household Financial and Orgnaizational Mangement,,,1,,,,,1,,,,,
20905,Household Financial and Orgnaizational Mangement,,,1,,,,,1,,,,,
20999,Household Financial and Orgnaizational Mangement,,,1,,,,,1,,,,,
29999,General Household Activities,,,1,,,,,1,,,,,
30101,Physical Care for Children,1,,,,,1,,,,,,,
30102,Reading to Children,1,,,,,1,,,,,,,
30103,Playing with Children,1,,,,,1,,,,,,,
30104,Playing with Children,1,,,,,1,,,,,,,
30105,Playing with Children,1,,,,,1,,,,,,,
30106,Talking to Children,1,,,,,1,,,,,,,
30108,Organization & planning for children,1,,,,,1,,,,,,,
30109,Looking after children,1,,,,,1,,,,,,,
30110,Attending Children's events,1,,,,,1,,,,1,,,
30111,Waiting for Children,1,,,,,1,,,,,,,
30112,Picking up/dropping off children,1,,,,,1,,,,,,,
30199,General childcare,1,,,,,1,,,,,,,
30201,Helping with homework,1,,,,,1,,,,,,,
30202,Meetings and school conferences,1,,,,,1,,,,,,,
30203,Home schooling of children,1,,,,,1,,,,,,,
30204,Waiting associated with children's education,1,,,,,1,,,,,,,
30299,General Children's Education,1,,,,,1,,,,,,,
30301,Providing medical care to children,,1,,,,1,,,,,,,
