"date","geo_level","category_id","subcategory_id","care_labor_force","total_population","care_labor_force_proportion","type"
1990-01-01,"state01","overall","overall",341723.41,2984424.85,0.114502266659521,"Paid"
1990-01-01,"state02","overall","overall",50615.24,348046.47,0.145426672478534,"Paid"
1990-01-01,"state04","overall","overall",382466.89,2599242.66,0.147145511223642,"Paid"
1990-01-01,"state05","overall","overall",238605.87,1727526.26,0.138119966986783,"Paid"
1990-01-01,"state06","overall","overall",2824978.91,21289221.32,0.132695267127788,"Paid"
1990-01-01,"state08","overall","overall",309874.93,2399323.28,0.129150970435297,"Paid"
1990-01-01,"state09","overall","overall",327955.95,2471181.38,0.132712213135889,"Paid"
1990-01-01,"state10","overall","overall",68767.49,503589.28,0.136554713793749,"Paid"
1990-01-01,"state11","overall","overall",64992.64,439613.59,0.147840379547866,"Paid"
1990-01-01,"state12","overall","overall",1259941.59,9838105.48,0.128067501671064,"Paid"
1990-01-01,"state13","overall","overall",605844.74,4588512.26,0.132035114143947,"Paid"
1990-01-01,"state15","overall","overall",137250.47,817399.2,0.167911187091937,"Paid"
1990-01-01,"state16","overall","overall",94088.07,695737.77,0.13523496072378,"Paid"
1990-01-01,"state17","overall","overall",1064523.27,8549218.99,0.124517019770481,"Paid"
1990-01-01,"state18","overall","overall",485072.23,4117480.74,0.117808014324798,"Paid"
1990-01-01,"state19","overall","overall",342389.62,2070923.52,0.165331851559637,"Paid"
1990-01-01,"state20","overall","overall",281945.16,1798500.98,0.156766753610554,"Paid"
1990-01-01,"state21","overall","overall",389938.77,2724174.49,0.14314015913129,"Paid"
1990-01-01,"state22","overall","overall",341541.58,2973326.13,0.114868522680356,"Paid"
1990-01-01,"state23","overall","overall",149727.05,901353.07,0.166113651779097,"Paid"
1990-01-01,"state24","overall","overall",506848.87,3504873.18,0.144612613344258,"Paid"
1990-01-01,"state25","overall","overall",648038.53,4486774.98,0.144433035507388,"Paid"
1990-01-01,"state26","overall","overall",906813.45,6731360.14,0.134714742806793,"Paid"
