"year","prime_age","race_ethnicity","empstat","poverty","gender","provider_status","time_use","care_type","care_focus","provider_attention","population","provision_interval"
2003,"Fifty-Five Plus","American Indian","Employed",NA,"female","without_children","care","informal","daily_living","active",6361.84772934137,716136.470794896
2003,"Fifty-Five Plus","American Indian","Employed",NA,"female","without_children","care","informal","developmental","passive_child",6361.84772934137,544774.295731299
2003,"Fifty-Five Plus","American Indian","Employed",NA,"female","without_children","care","informal","developmental","active",1089.03766516932,164393.594811238
2003,"Fifty-Five Plus","American Indian","Employed",NA,"male","with_children","care","informal","daily_living","active",1303.21891600164,179844.210408227
2003,"Fifty-Five Plus","American Indian","Employed",NA,"male","with_children","care","informal","developmental","passive_child",1303.21891600164,0
2003,"Fifty-Five Plus","American Indian","Employed",NA,"male","with_children","care","informal","developmental","active",1303.21891600164,13032.1891600164
2003,"Fifty-Five Plus","American Indian","Employed",NA,"male","without_children","care","informal","daily_living","active",6010.9166834937,1049096.40112844
2003,"Fifty-Five Plus","American Indian","Employed",NA,"male","without_children","care","informal","developmental","passive_child",6010.9166834937,0
2003,"Fifty-Five Plus","American Indian","NILF",NA,"female","without_children","care","informal","daily_living","active",8444.37359292,3328995.35872322
2003,"Fifty-Five Plus","American Indian","NILF",NA,"female","without_children","care","informal","developmental","passive_child",8444.37359292,730569.409210669
2003,"Fifty-Five Plus","American Indian","NILF",NA,"female","without_children","care","informal","developmental","active",2586.12651923014,170302.436560647
2003,"Fifty-Five Plus","American Indian","NILF",NA,"male","without_children","care","informal","daily_living","active",16996.8634033737,3256977.78189552
2003,"Fifty-Five Plus","American Indian","NILF",NA,"male","without_children","care","informal","developmental","passive_child",16996.8634033737,0
2003,"Fifty-Five Plus","American Indian","NILF",NA,"male","without_children","care","informal","health","active",4292.1199772411,179306.517799332
2003,"Fifty-Five Plus","Asian/Pacific Island","Employed",NA,"female","with_children","care","informal","daily_living","active",2062.11310964658,927950.899340959
2003,"Fifty-Five Plus","Asian/Pacific Island","Employed",NA,"female","with_children","care","informal","developmental","passive_child",2062.11310964658,0
2003,"Fifty-Five Plus","Asian/Pacific Island","Employed",NA,"female","with_children","care","informal","developmental","active",2062.11310964658,10310.5655482329
