"gender","provider_status","time_use","care_type","care_focus","provider_attention","population","provision_interval"
"female","other","care","formal","daily_living","active",5129054.08,1453961123.74286
"female","other","care","formal","developmental","active",5056386,1600181980.88571
"female","other","care","formal","health","active",9045135.02,2945803015.8
"female","with_children","care","formal","daily_living","active",2228449.29,665304308.057143
"female","with_children","care","formal","developmental","active",3408297.27,1100776025.48571
"female","with_children","care","formal","health","active",5594821.91,1780162911.6
"male","other","care","formal","daily_living","active",5582630.91,1742542282.97143
"male","other","care","formal","developmental","active",1852483.66,599336466.428571
"male","other","care","formal","health","active",2778168.17,945484021.885714
"male","with_children","care","formal","daily_living","active",1617552.55,572621674.2
"male","with_children","care","formal","developmental","active",1011919.7,365704954.285714
"male","with_children","care","formal","health","active",1568545.9,585053574.771429
"female","other","non_care","formal","none","active",27776885.95,8930859180.85714
"female","with_children","non_care","formal","none","active",13325220.53,4382444111.65714
"male","other","non_care","formal","none","active",43562493.24,15059454225.3429
"male","with_children","non_care","formal","none","active",21000785.24,7759378645.8
"female","with_children","care","informal","daily_living","active",37154613.0771197,8446975234.39304
"female","with_children","care","informal","developmental","passive_child",37678841.8614571,10349755362.7074
"female","with_children","care","informal","developmental","active",27281500.051683,3707252901.6293
"female","with_children","care","informal","health","passive_elder",37678841.8614571,143617978.380101
"female","with_children","care","informal","health","active",4398643.8123817,341655761.581844
"female","without_children","care","informal","daily_living","active",90357112.6780323,20162550234.0263
"female","without_children","care","informal","developmental","passive_child",92257272.8604638,1652919611.55368
"female","without_children","care","informal","developmental","active",7017014.3444647,927451973.758539
"female","without_children","care","informal","health","passive_elder",92257272.8604638,1202303679.87985
"female","without_children","care","informal","health","active",10585597.2745341,964278502.399076
"male","with_children","care","informal","daily_living","active",31745010.6643879,4828108189.51188
"male","with_children","care","informal","developmental","passive_child",33407076.1063875,6630946914.90478
"male","with_children","care","informal","developmental","active",17700638.1754616,1792825466.54689
"male","with_children","care","informal","health","passive_elder",33407076.1063875,73360897.1661312
"male","with_children","care","informal","health","active",1881581.35937238,130946119.866196
"male","without_children","care","informal","daily_living","active",84521405.2069842,13469591837.034
"male","without_children","care","informal","developmental","passive_child",89217364.0733681,811058547.500733
"male","without_children","care","informal","developmental","active",3245712.49551689,393438311.94464
"male","without_children","care","informal","health","passive_elder",89217364.0733681,826275691.949104
"male","without_children","care","informal","health","active",5798422.60089829,532345867.928466
"female","with_children","non_care","informal","none","active",37678841.8614571,33080201715.4052
"female","without_children","non_care","informal","none","active",92257272.8604638,94636138435.6683
"male","with_children","non_care","informal","none","active",33407076.1063875,29825367865.2031
"male","without_children","non_care","informal","none","active",89213432.7894042,93831525657.1431
