"name","geo","median_wage","population","provision_interval","Type"
"Childcare Workers","state23","17000",6267.76716,1856349.74057143,"Paid"
"Childcare Workers","state33","15000",6419.34058,1382233.61502857,"Paid"
"Childcare Workers","state50","18000",2292.50382,753152.868342857,"Paid"
"Childcare Workers","state25","18000",30758.62202,8618977.55194286,"Paid"
"Childcare Workers","state44","20000",3418.9929,896087.331428571,"Paid"
"Childcare Workers","state09","25000",14119.79764,3674712.31885714,"Paid"
"Childcare Workers","state36","25000",66923.88148,18697005.1973143,"Paid"
"Childcare Workers","state34","19240",30389.94148,7975242.28268571,"Paid"
"Childcare Workers","state42","29000",33198.63158,9996694.31211429,"Paid"
"Childcare Workers","state39","20000",36927.98666,9692363.14628571,"Paid"
"Childcare Workers","state18","12000",21011.66032,6114605.60708571,"Paid"
"Childcare Workers","state17","18000",41450.9574,12940658.0086286,"Paid"
"Childcare Workers","state26","17000",27455.92538,6778600.9884,"Paid"
"Childcare Workers","state55","14000",24574.4565,5817683.25342857,"Paid"
"Childcare Workers","state27","10300",29905.2349,7275525.79714286,"Paid"
"Childcare Workers","state19","24000",17018.4583,5504605.68411429,"Paid"
"Childcare Workers","state29","20093",14116.72738,3795863.57108571,"Paid"
"Childcare Workers","state38","12500",3918.14684,1226402.00571429,"Paid"
"Childcare Workers","state46","22000",6243.19152,1887623.1948,"Paid"
"Childcare Workers","state31","12484",6787.89128,2162858.97651429,"Paid"
"Childcare Workers","state20","11000",12346.18776,3359303.88137143,"Paid"
"Childcare Workers","state10","21000",3519.41078,1231496.94274286,"Paid"
"Childcare Workers","state24","29500",20706.69992,6512496.60428571,"Paid"
"Childcare Workers","state11","30000",1597.20338,518853.774857143,"Paid"
"Childcare Workers","state51","22000",34581.50022,9206895.86005714,"Paid"
"Childcare Workers","state54","23000",5094.27518,1518638.70977143,"Paid"
"Childcare Workers","state37","26000",25524.49008,6785624.07737143,"Paid"
"Childcare Workers","state45","20600",13773.47562,3414307.82297143,"Paid"
"Childcare Workers","state13","20800",24398.85846,6163337.14714286,"Paid"
"Childcare Workers","state12","20000",50106.78776,14205436.1374286,"Paid"
"Childcare Workers","state21","15000",8977.94102,2221717.55417143,"Paid"
"Childcare Workers","state47","17000",15355.42982,3526077.61251429,"Paid"
"Childcare Workers","state01","20000",13073.58314,3568383.05314286,"Paid"
"Childcare Workers","state28","10000",5208.53868,1335919.00628571,"Paid"
"Childcare Workers","state05","21600",8944.11158,2336029.47377143,"Paid"
"Childcare Workers","state22","12903",12524.55226,2829239.0424,"Paid"
"Childcare Workers","state40","26936",10255.16206,3102377.06537143,"Paid"
"Childcare Workers","state48","20000",67837.04174,18805857.5213143,"Paid"
"Childcare Workers","state30","20000",2355.76436,593666.485885714,"Paid"
"Childcare Workers","state16","17499.1320000003",5633.39416,1584388.11857143,"Paid"
"Childcare Workers","state56","15000",1939.73466,611332.755428571,"Paid"
"Childcare Workers","state08","26000",18447.92666,5497358.35268571,"Paid"
"Childcare Workers","state35","23145",6047.70058,1689738.68314286,"Paid"
"Childcare Workers","state04","24000",11911.41072,2929426.57765714,"Paid"
"Childcare Workers","state49","18000",10263.80634,2314399.31725714,"Paid"
"Childcare Workers","state32","18720",6589.04216,1439159.20902857,"Paid"
"Childcare Workers","state53","25000",29596.4349,7567766.14817143,"Paid"
"Childcare Workers","state41","12000",12933.2408,3776310.186,"Paid"
"Childcare Workers","state06","23000",122132.18442,34362496.4607429,"Paid"
"Childcare Workers","state02","27000",1931.47342,667464.534514286,"Paid"
"Childcare Workers","state15","20000",2948.38724,662810.910342857,"Paid"
"Cooks/Chefs","state23","24960",9580.60418,2525710.7688,"Paid"
"Cooks/Chefs","state33","26000",10568.3504,3294160.10485714,"Paid"
"Cooks/Chefs","state50","30000",5390.7506,1621031.90451429,"Paid"
"Cooks/Chefs","state25","26000",45014.3017,12467229.5319429,"Paid"
"Cooks/Chefs","state44","40000",6401.72672,1764790.54971429,"Paid"
"Cooks/Chefs","state09","27000",23846.74924,7676513.5356,"Paid"
"Cooks/Chefs","state36","25000",135887.83234,40814347.1142857,"Paid"
"Cooks/Chefs","state34","25000",47666.08716,13481665.5966857,"Paid"
"Cooks/Chefs","state42","27000",86440.51854,25801585.1897143,"Paid"
"Cooks/Chefs","state39","20000",85850.0352,22557103.6114286,"Paid"
"Cooks/Chefs","state18","23382",55772.59582,16220672.5268571,"Paid"
"Cooks/Chefs","state17","23660",90380.48272,26291388.5756571,"Paid"
