year,month,gender_parent,total_population,labor_force,lfpr
1990,1,Childless Men,51886867.49,35016426.85,67.48610688
1990,1,Childless Women,51026995.1,26787487.68,52.49669832
1990,1,Fathers,28189180.68,26324156.3,93.38390001
1990,1,Mothers,34899525.38,23189548.12,66.44660025
1990,1,Other,22410487.14,11581024.72,51.67680938
1990,2,Childless Men,52020006.13,35154482.49,67.57877422
1990,2,Childless Women,51179231.89,26646155.37,52.06439094
1990,2,Fathers,28164815.07,26358921.47,93.58812193
1990,2,Mothers,34863272.01,23355720.84,66.99233748
1990,2,Other,22288936.28,11603563.91,52.05974733
1990,3,Childless Men,52197638.58,35500273.45,68.01126337
1990,3,Childless Women,51409694.1,26960522.12,52.44248695
1990,3,Fathers,28122687.52,26333637.1,93.63840878
1990,3,Mothers,34790475.85,23184477.17,66.64029912
1990,3,Other,22109501.82,11653603.85,52.70857727
1990,4,Childless Men,52325097.23,35660735.22,68.15225792
1990,4,Childless Women,51110390.34,26844975.83,52.52351949
1990,4,Fathers,28026793.37,26334632.88,93.96234715
1990,4,Mothers,35084526.6,23350257.41,66.55428952
1990,4,Other,22231374.35,11819019.64,53.16369314
1990,5,Childless Men,52453716.54,36020160.57,68.67036875
1990,5,Childless Women,51083076.64,26889673.93,52.63910418
1990,5,Fathers,28007538.97,26403104.35,94.27141877
1990,5,Mothers,35029528.67,23645533.95,67.50171883
1990,5,Other,22338689.29,11996404.46,53.70236501
1990,6,Childless Men,52422357.51,36936387.64,70.45922655
1990,6,Childless Women,51081703.95,27616033.53,54.0624752
1990,6,Fathers,28031732.46,26451467.29,94.36258472
1990,6,Mothers,35025653.51,23102918.44,65.95999253
1990,6,Other,22496590.57,12587979.59,55.95505484
1990,7,Childless Men,52396636.23,37055192.05,70.7205552
1990,7,Childless Women,50766001.36,27388213.64,53.94991314
1990,7,Fathers,28016707.79,26468444.1,94.47378435
1990,7,Mothers,35282273.21,23248505.8,65.89287958
1990,7,Other,22726184.11,12976923.93,57.10120039
1990,8,Childless Men,52626616.97,36789266.34,69.90619663
1990,8,Childless Women,51449102.44,27633810.6,53.71096732
1990,8,Fathers,27971596.79,26528497.48,94.84084044
1990,8,Mothers,34866180.87,22912359.98,65.71514117
1990,8,Other,22428978.93,12373304.7,55.16659826
1990,9,Childless Men,52630224.21,35987679.58,68.37835126
1990,9,Childless Women,51438346.64,27349398.89,53.16928066
1990,9,Fathers,28145946.58,26630827.15,94.61691784
1990,9,Mothers,35007699.97,23322284.06,66.62044087
1990,9,Other,22305632.12,11694746.8,52.42956908
1990,10,Childless Men,52531317.35,35984538.73,68.50111618
1990,10,Childless Women,51477811.15,27344093.01,53.11821229
1990,10,Fathers,28253046.83,26634162.04,94.27005236
1990,10,Mothers,34979543,23555474.16,67.34071443
1990,10,Other,22468508.89,11808281.84,52.55480859
1990,11,Childless Men,52811407.4,36069338.42,68.29838513
1990,11,Childless Women,51565878.73,27190648.48,52.72992364
1990,11,Fathers,28032395.89,26309406.99,93.8535796
1990,11,Mothers,34989892.31,23333360.14,66.68600158
1990,11,Other,22472149.82,11851056.97,52.73664098
1990,12,Childless Men,52877910.41,35879194.44,67.85289767
1990,12,Childless Women,51518618.27,27023678.4,52.45419871
1990,12,Fathers,27985911.73,26179242.2,93.54436065
1990,12,Mothers,35001196.31,23345434.49,66.69896161
1990,12,Other,22633089.52,11873349.03,52.46013373
1991,1,Childless Men,53003121.8,35480906.87,66.94116434
1991,1,Childless Women,51612055.76,27033759.84,52.37876973
1991,1,Fathers,27884372.32,25818832.55,92.59248246
1991,1,Mothers,34947674.81,22950891.83,65.67215689
1991,1,Other,22715679.14,11618857.23,51.14906386
1991,2,Childless Men,53030960.99,35443150.74,66.83482645
1991,2,Childless Women,51596849.14,26993383.29,52.31595289
1991,2,Fathers,28032436.95,25972400.36,92.65123973
