"age","care_focus","need_interval","provision_interval","population"
0,"developmental",402.877462758067,0,3487958.83
0,"daily_living",699.788184636096,0,3487958.83
0,"health",314.98316954487,0,3487958.83
1,"developmental",414.390438191949,0,3833595.01
1,"daily_living",713.109229162289,0,3833595.01
1,"health",309.453188897032,0,3833595.01
2,"developmental",425.447805523989,0,3650791.18
2,"daily_living",726.47486542402,0,3650791.18
2,"health",291.471014775917,0,3650791.18
3,"developmental",436.642813520344,0,3543599.1
3,"daily_living",740.413542122256,0,3543599.1
3,"health",272.045000673923,0,3543599.1
4,"developmental",447.157445782149,0,3949154.77
4,"daily_living",754.104835353857,0,3949154.77
4,"health",252.000385502728,0,3949154.77
5,"developmental",455.82616584133,0,3814156.96
5,"daily_living",766.46588954844,0,3814156.96
5,"health",232.25466303734,0,3814156.96
6,"developmental",466.032916509114,0,3923362.4
6,"daily_living",780.801040953183,0,3923362.4
6,"health",209.662710158679,0,3923362.4
7,"developmental",477.502816165603,0,4058345.78
7,"daily_living",796.837623917469,0,4058345.78
7,"health",184.492760578799,0,4058345.78
8,"developmental",480,0,4104759.74
8,"daily_living",808.127280024225,0,4104759.74
8,"health",162.782343319402,0,4104759.74
9,"developmental",480,0,4115785.13
9,"daily_living",812.245753488968,0,4115785.13
9,"health",148.652547906619,0,4115785.13
10,"developmental",476.295397112328,0,3954196.1
10,"daily_living",811.77062731608,0,3954196.1
10,"health",137.278912276415,0,3954196.1
11,"developmental",462.949761246636,0,4232470.05
11,"daily_living",812.002223408929,0,4232470.05
11,"health",127.123753003921,0,4232470.05
12,"developmental",444.227324259635,0,4034343.5
12,"daily_living",811.331976503098,0,4034343.5
12,"health",119.841305547178,0,4034343.5
13,"developmental",422.523991962954,0,4246678.75
13,"daily_living",800.450955613132,0,4246678.75
13,"health",112.838649867007,0,4246678.75
14,"developmental",399.84380351342,0,4285190.99
14,"daily_living",784.200925821234,0,4285190.99
14,"health",105.011777802269,0,4285190.99
15,"developmental",372.444837688231,0,4325019.1
15,"daily_living",760.175718166091,0,4325019.1
15,"health",97.9271240644421,0,4325019.1
16,"developmental",334.104059729573,0,4737219.23
16,"daily_living",708.19450059697,6.36416731438419,4737219.23
16,"health",92.9974329232658,2.30363413764842,4737219.23
17,"developmental",275.215515334219,30.1864443682251,4472718.14
17,"daily_living",603.844119581601,23.5577651831891,4472718.14
17,"health",93.5419824738679,12.8520159674013,4472718.14
18,"developmental",204.457218512161,79.3245873417906,4225752.16
18,"daily_living",468.860607075296,46.4487783140141,4225752.16
18,"health",97.4217852816143,26.3874299650694,4225752.16
19,"developmental",143.032086975408,138.36462709375,4116958.99
19,"daily_living",352.286909258697,66.684431870047,4116958.99
19,"health",97.8621873216031,46.2339382737901,4116958.99
20,"developmental",79.3601940314792,227.246030337209,3953145.96
20,"daily_living",234.106846020368,87.5480973835032,3953145.96
20,"health",91.9937857131609,76.2364985244949,3953145.96
21,"developmental",21.9825949427655,319.826867889976,4406009.73
21,"daily_living",127.391419023403,106.874741862273,4406009.73
21,"health",84.9678679271515,111.261132856313,4406009.73
22,"developmental",0,397.206099011793,4254595.59
22,"daily_living",83.0327918149228,116.152484120642,4254595.59
22,"health",76.056785789191,155.288804799877,4254595.59
23,"developmental",0,476.182348738232,4377589.21
23,"daily_living",83.0327918149228,120.637359163935,4377589.21
23,"health",64.689507210259,206.912163472671,4377589.21
24,"developmental",0,537.020248542487,4512879.11
24,"daily_living",83.0327918149228,124.455859655414,4512879.11
24,"health",56.3573378208045,247.904396160406,4512879.11
25,"developmental",0,568.788903941165,4526730.74
25,"daily_living",83.0327918149228,127.503176154193,4526730.74
25,"health",53.1348230392213,278.09171998333,4526730.74
26,"developmental",0,583.72727816624,4030129.42
26,"daily_living",83.0327918149228,128.895643905604,4030129.42
26,"health",52.4462663458422,304.236905258187,4030129.42
27,"developmental",0,596.854789263949,4416042.79
27,"daily_living",94.2497509813958,131.591472602234,4416042.79
27,"health",52.8076104640247,318.517969065429,4416042.79
28,"developmental",0,608.408016660334,4313570.27
28,"daily_living",97.0060891810792,136.650956426772,4313570.27
28,"health",54.6465117420815,309.852295944842,4313570.27
29,"developmental",0,613.552769255812,4330385.06
29,"daily_living",100.15811864654,142.391779511614,4330385.06
29,"health",58.0462892887684,285.835313064539,4330385.06
30,"developmental",0,619.702309308188,4383875.26
30,"daily_living",102.690945792773,147.658236473908,4383875.26
30,"health",61.0063799681069,266.662101447465,4383875.26
31,"developmental",0,632.306348651332,4483441.91
31,"daily_living",104.477517890023,152.696104406589,4483441.91
31,"health",63.0752213262164,252.265340136985,4483441.91
32,"developmental",0,642.666443882003,4760661.08
32,"daily_living",105.911002316078,157.356267030146,4760661.08
32,"health",65.2240511861449,239.758263356217,4760661.08
33,"developmental",0,645.943610923556,4921624.79
33,"daily_living",106.455745838723,160.971456850812,4921624.79
33,"health",67.6256576859156,239.741521620479,4921624.79
34,"developmental",0,645.864877630067,4711353.38
34,"daily_living",106.341159151223,164.017875026684,4711353.38
34,"health",70.2186764916092,245.837925627818,4711353.38
35,"developmental",0,641.470291299761,4559951.23
35,"daily_living",106.480274718119,166.462679094037,4559951.23
35,"health",72.7855161747256,248.54662944491,4559951.23
36,"developmental",0,630.088107091448,4528245.75
36,"daily_living",106.851949465005,168.153357855157,4528245.75
36,"health",76.312106113172,248.778720877147,4528245.75
37,"developmental",0,615.566642754149,4487869.53
37,"daily_living",107.380367693183,169.332186248736,4487869.53
37,"health",79.3728161018357,246.71666799107,4487869.53
38,"developmental",0,600.133604708136,4533950.68
38,"daily_living",108.61917628961,169.819132437236,4533950.68
38,"health",81.1440906776983,233.995565057868,4533950.68
39,"developmental",0,581.678038625693,4466546.2
39,"daily_living",110.203289873569,169.659065448018,4466546.2
39,"health",82.5178824112566,215.810528826517,4466546.2
40,"developmental",0,562.512094568364,4317073.61
40,"daily_living",111.585633571643,169.748673319316,4317073.61
40,"health",82.2325225497542,201.9078174721,4317073.61
41,"developmental",0,543.124824200196,4377396.92
41,"daily_living",112.670052288665,170.136557675247,4377396.92
41,"health",79.111674086954,191.42028922514,4377396.92
42,"developmental",0,522.704122015368,4464580.69
42,"daily_living",113.707189904928,170.536475436928,4464580.69
42,"health",74.8580449411354,183.164997319468,4464580.69
43,"developmental",0,499.745671230311,4562064.81
43,"daily_living",114.565353561975,171.410624179311,4562064.81
43,"health",68.4353373121065,185.207415576557,4562064.81
44,"developmental",0,474.783115299631,4023955.89
44,"daily_living",115.315600542336,172.52527988935,4023955.89
44,"health",59.9400559363767,193.12270293955,4023955.89
45,"developmental",0,451.23380888733,4110340.03
45,"daily_living",116.235179647269,173.230981168778,4110340.03
45,"health",54.1283032530164,197.447937770999,4110340.03
46,"developmental",0,428.711657603503,4042333.63
46,"daily_living",117.47514190379,173.458037284592,4042333.63
46,"health",47.4587011863131,196.43969573153,4042333.63
47,"developmental",0,406.443628726284,4043370.34
47,"daily_living",118.822050779971,173.43802929813,4043370.34
47,"health",40.4738830136095,193.842220121606,4043370.34
48,"developmental",0,387.266669421724,3690595.97
48,"daily_living",120.006423738654,172.973403502639,3690595.97
48,"health",43.8876498239759,188.424090763532,3690595.97
49,"developmental",0,372.579439087092,3895050.76
49,"daily_living",120.766514921251,171.712087659173,3895050.76
49,"health",65.8906657661528,176.907184347169,3895050.76
50,"developmental",0,360.48079423407,3798256.65
50,"daily_living",121.363200442041,169.913407412871,3798256.65
50,"health",99.0140450561753,161.40732024198,3798256.65
51,"developmental",0,348.857977700333,3948423.64
51,"daily_living",122.310930723169,168.296905883102,3948423.64
51,"health",130.818900643222,148.783992289675,3948423.64
52,"developmental",0,335.884119368307,4049037.3
52,"daily_living",123.330987214694,166.527267791274,4049037.3
52,"health",178.00734204219,140.411638061742,4049037.3
53,"developmental",0,325.010125150352,4283077.9
53,"daily_living",124.621797618093,164.909328827985,4283077.9
53,"health",219.602956724159,133.44833858723,4283077.9
54,"developmental",0,317.806104375608,4243176.78
54,"daily_living",126.778344405834,163.783185548028,4243176.78
54,"health",227.904828071835,129.002993842451,4243176.78
55,"developmental",0,312.535039150252,4012216.53
55,"daily_living",129.426104808185,162.817483098376,4012216.53
55,"health",224.234737713325,126.622713931647,4012216.53
56,"developmental",0,310.040145522412,3712199.78
56,"daily_living",132.340990761109,162.684813940457,3712199.78
56,"health",213.170062900171,124.499773074777,3712199.78
57,"developmental",0,314.170221774991,4007764.75
57,"daily_living",135.568769659011,163.293862276804,4007764.75
57,"health",182.899132434746,122.22464046698,4007764.75
58,"developmental",0,322.81799005067,4161727.93
58,"daily_living",139.14388516685,164.462542825142,4161727.93
58,"health",137.148457841369,120.499066886445,4161727.93
59,"developmental",0,327.892552187246,4161709.9
59,"daily_living",142.825263626422,166.727293819678,4161709.9
59,"health",103.802690454499,119.182248927713,4161709.9
60,"developmental",0,327.081451703155,4265103
60,"daily_living",146.452796562146,170.546101061699,4265103
60,"health",93.0107219785319,119.339606706094,4265103
61,"developmental",0,324.124410128797,4368069.81
61,"daily_living",150.206498338444,175.543193777122,4368069.81
61,"health",91.3487587117547,120.521208038688,4368069.81
62,"developmental",0,320.008796319912,4131194.12
62,"daily_living",154.355479557106,181.004375337098,4131194.12
62,"health",91.3424238794665,120.313221072726,4131194.12
63,"developmental",0,310.312781806028,4219594.67
63,"daily_living",159.700613536477,188.09091015119,4219594.67
63,"health",97.5483258874934,117.969935500427,4219594.67
64,"developmental",0,300.68977461303,4178891.06
64,"daily_living",165.09796679312,195.32405034397,4178891.06
64,"health",104.184381568109,114.980991101518,4178891.06
65,"developmental",0,299.045614447214,4021422.7
65,"daily_living",170.173618562347,201.579655263234,4021422.7
65,"health",101.086817456791,111.018137374793,4021422.7
66,"developmental",0,299.881943612524,3889163.26
66,"daily_living",175.358265832087,207.873213709736,3889163.26
66,"health",95.4590101706002,106.103626644502,3889163.26
67,"developmental",0,299.192689605715,3853072.38
67,"daily_living",179.210735630398,212.739954806584,3853072.38
67,"health",90.3692706968737,101.702406427313,3853072.38
68,"developmental",0,297.014364070804,3738904.49
68,"daily_living",171.154111161204,215.307857075733,3738904.49
68,"health",82.3431425549754,97.7815102248525,3738904.49
69,"developmental",0,294.735471190547,3676891.86
69,"daily_living",156.63483087404,216.530868246545,3676891.86
