Code,Label,Health Care,Education,Social Services,Child Care,Death Care,Personal Care,Fooc Care,FOCUS
310,Food Managers,,,,,,,1,daily_living
4000,Cooks/Chefs,,,,,,,1,daily_living
4010,Food Preparation Workers,,,,,,,1,daily_living
4030,Food Preparation Workers,,,,,,,1,daily_living
4040,Bartenders,,,,,,,1,daily_living
4050,Food Preparation Workers,,,,,,,1,daily_living
4060,Food Preparation Workers,,,,,,,1,daily_living
4110,Waiters and Waitresses,,,,,,,1,daily_living
4120,Waiters and Waitresses,,,,,,,1,daily_living
4130,Food Preparation Workers,,,,,,,1,daily_living
4140,Dishwashers,,,,,,,1,daily_living
4150,Waiters and Waitresses,,,,,,,1,daily_living
4500,"Hairdressers, Hairstylists, and Cosmetologists",,,,,,1,,daily_living
4510,"Hairdressers, Hairstylists, and Cosmetologists",,,,,,1,,daily_living
4520,"Hairdressers, Hairstylists, and Cosmetologists",,,,,,1,,daily_living
4610,Personal Care Aides,,,,,,1,,health
320,Funeral Service Workers and Embalmers,,,,,1,,,health
4460,Funeral Service Workers and Embalmers,,,,,1,,,health
4600,Childcare Workers,,,,1,,,,developmental
420,Social and Community Service Managers,,,1,,,,,health
2000,Counselors,,,1,,,,,health
2010,Social Workers,,,1,,,,,health
2020,Social Workers,,,1,,,,,health
2040,Clergy,,,1,,,,,health
2050,Clergy,,,1,,,,,health
2060,Clergy,,,1,,,,,health
230,Education Administrators,,1,,,,,,developmental
2200,Postsecondary Teachers,,1,,,,,,developmental
2300,Preschool and Kindergarten Teachers,,1,,,,,,developmental
2310,Elementary and Middle School Teachers,,1,,,,,,developmental
2320,Secondary School Teachers,,1,,,,,,developmental
2330,Special Education Teachers,,1,,,,,,developmental
2340,Other Teachers and Instructors,,1,,,,,,developmental
2400,"Archivists, Curators, and Museum Technicians",,1,,,,,,developmental
2430,Librarians,,1,,,,,,developmental
2440,Librarians,,1,,,,,,developmental
2540,Teacher Assistants,,1,,,,,,developmental
2550,Librarians,,1,,,,,,developmental
350,Medical and Health Services Managers,1,,,,,,,health
3000,Chiropractors,1,,,,,,,health
3010,Dentists,1,,,,,,,health
3030,Dieticians and Nutritionists,1,,,,,,,health
3040,Optometrists,1,,,,,,,health
3050,Pharmacists,1,,,,,,,health
3060,Physicians and Surgeons,1,,,,,,,health
3110,Physician Assistants,1,,,,,,,health
3120,Medical Specialists/Therapists,1,,,,,,,health
3130,Registered Nurses,1,,,,,,,health
3140,Medical Specialists/Therapists,1,,,,,,,health
3150,Medical Specialists/Therapists,1,,,,,,,health
